id|nombre|precio|rubro|url_imagen|url_producto
02149|Aceite De Girasol Mazola Manteca 120 Ml|167.08|Almacén > Aceites y Vinagres > Aceites Comunes|205651-512-512|/aerosol-mazola-de-manteca
02151|Aceite De Girasol Jumbo 900 Ml|86.27|Almacén > Aceites y Vinagres > Aceites Comunes|200732-512-512|/aceite-de-girasol-jumbo-900ml
02158|Aceite De Girasol Cada Día 900 Ml|88.0|Almacén > Aceites y Vinagres > Aceites Comunes|189034-512-512|/aceite-de-girasol-cada-dia-900-ml
02159|Aceite Girasol Primor 1,5 L|142.0|Almacén > Aceites y Vinagres > Aceites Comunes|574459-512-512|/aceite-girasol-primor-1-5-l
00110|Aceite De Girasol Primor 900 Ml|88.0|Almacén > Aceites y Vinagres > Aceites Comunes|423577-512-512|/aceite-de-girasol-primor-x-900-ml
00103|Aceite Girasol Pureza 1,5 L|185.63|Almacén > Aceites y Vinagres > Aceites Comunes|591713-512-512|/aceite-girasol-pureza-1-5-l
00039|Aceite Natura De Oliva|328.85|Almacén > Aceites y Vinagres > Aceites Especiales|495720-512-512|/aceite-natura-de-oliva-3
00043|Aceite De Oliva Natura Virgen 120 Ml|133.66|Almacén > Aceites y Vinagres > Aceites Especiales|209763-512-512|/aceite-natura-de-oliva-2
02172|Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml|421.77|Almacén > Aceites y Vinagres > Aceites Especiales|568751-512-512|/aceite-oliovita-de-oliva-x-500-cc-2
02174|Aceite De Oliva Cañuelas Extra Virgen Clásico 500 Ml|321.42|Almacén > Aceites y Vinagres > Aceites Especiales|207320-512-512|/aceite-de-oliva-canuelas-extra-virgen
02178|Aceite De Girasol Y Oliva Copisi Scelto 900 Ml|179.59|Almacén > Aceites y Vinagres > Aceites Especiales|180303-512-512|/aceite-copisi-de-oliva-x900cc
00045|Aceite De Oliva Natura Selección Especial 500 Ml|411.49|Almacén > Aceites y Vinagres > Aceites Especiales|178965-512-512|/aceite-natura-oliva-seleccion-botella-x-500-cc
02180|Aceite De Oliva Cocinero 1 L|578.14|Almacén > Aceites y Vinagres > Aceites Especiales|468552-512-512|/aceite-cocinero-de-oliva
02181|Aceite De Oliva Lira Clásico Extra Virgen 1 L|731.95|Almacén > Aceites y Vinagres > Aceites Especiales|468550-512-512|/aceite-lira-de-oliva-2
02182|Aceite De Oliva Oliovita Clásico 500 Ml|368.31|Almacén > Aceites y Vinagres > Aceites Especiales|568769-512-512|/aceite-de-oliva-oliovita-x500cc
02185|Aceite De Oliva Oliovita Mediterráneo 500 Ml|368.31|Almacén > Aceites y Vinagres > Aceites Especiales|568757-512-512|/aceite-de-oliva-oliovita-extra-virgen-mediterraneo-x-500cc
00054|Aceite De Oliva Jumbo Extra Virgen 500 Ml|349.0|Almacén > Aceites y Vinagres > Aceites Especiales|177584-512-512|/aceite-jumbo-de-oliva-x500cc-2
00046|Aceite De Oliva La Toscana Extra Virgen 500 Ml|473.12|Almacén > Aceites y Vinagres > Aceites Especiales|177436-512-512|/aceite-de-oliva-la-toscana-500-cc
02206|Aceite Oliva Familia Zuccardi Picual 250 Ml|384.01|Almacén > Aceites y Vinagres > Aceites Especiales|578727-512-512|/aceite-oliva-familia-zuccardi-picual-250-ml
00015|Aceto Balsamico Monterrey 250 Ml|84.1|Almacén > Aceites y Vinagres > Acetos|570098-512-512|/aceto-balsamico-monterrey-250-ml
00018|Aceto Balsámico Angelo 500 Ml|332.52|Almacén > Aceites y Vinagres > Acetos|442992-512-512|/aceto-balsamico-angelo
00023|Aceto Balsamico Molto 500ml|131.61|Almacén > Aceites y Vinagres > Acetos|555893-512-512|/aceto-balsamico-molto-500ml
00020|Aceto Balsámico Menoyo 250 Ml|165.42|Almacén > Aceites y Vinagres > Acetos|584799-512-512|/aceto-balsamico-menoyo-x-250-cc-2
00017|Aceto Balsámico La Toscana 250 Ml|194.55|Almacén > Aceites y Vinagres > Acetos|209583-512-512|/aceto-balsamico-la-toscana-botella-250
02228|Aceto Balsámico Altavia 250 Ml|187.27|Almacén > Aceites y Vinagres > Acetos|180916-512-512|/aceto-altavia-x-250-cc
02234|Jugo De Limón Minerva 500 Ml|124.85|Almacén > Aceites y Vinagres > Jugos de Limón|468266-512-512|/jugo-minerva-de-limon-ecobotella-x500
02235|Jugo De Limón Minerva 1 L|221.61|Almacén > Aceites y Vinagres > Jugos de Limón|468539-512-512|/jugo-minerva-de-limon-2
00003|Jugo De Limón Menoyo 250 Ml|74.2|Almacén > Aceites y Vinagres > Jugos de Limón|178851-512-512|/jugo-menoyo-de-limon
02237|Vinagre De Alcohol Menoyo 1 L|93.53|Almacén > Aceites y Vinagres > Vinagres|584778-512-512|/vinagre-menoyo-de-alcohol-2
00065|Vinagre De Alcohol Menoyo 500 Ml|58.16|Almacén > Aceites y Vinagres > Vinagres|584808-512-512|/vinagre-menoyo-de-alcohol
00062|Vinagre Manzana Alcazar 1000 Ml|78.6|Almacén > Aceites y Vinagres > Vinagres|578501-512-512|/vinagre-manzana-alcazar-1000-ml
00070|Vinagre De Manzana Jumbo 1 L|144.62|Almacén > Aceites y Vinagres > Vinagres|206949-512-512|/vinagre-de-manzana-jumbo
00071|Vinagre De Vino Jumbo 1 L|123.81|Almacén > Aceites y Vinagres > Vinagres|206948-512-512|/vinagre-de-vino-jumbo-2
02242|Vinagre De Manzana Dos Anclas 500 Ml|66.59|Almacén > Aceites y Vinagres > Vinagres|180940-512-512|/vinagre-dos-anclas-de-manzana-x-500-cc
00064|Vinagre De Manzana Menoyo 1 L|144.62|Almacén > Aceites y Vinagres > Vinagres|584803-512-512|/vinagre-menoyo-de-manzana-2
00068|Vinagre Castello De Arroz 750 Ml|442.17|Almacén > Aceites y Vinagres > Vinagres|177573-512-512|/vinagre-castello-de-arroz-x-750-ml
00063|Vinagre De Manzana Dos Anclas 1 L|105.08|Almacén > Aceites y Vinagres > Vinagres|428067-512-512|/vinagre-dos-anclas-de-manzana-x-1-lt
00061|Vinagre De Vino Dos Anclas 1 L|94.68|Almacén > Aceites y Vinagres > Vinagres|428066-512-512|/vinagre-dos-anclas-de-vino-x-1-lt
