departamento|categoria|subcategoria|url
Quesos y Fiambres|Quesos|Quesos Rallados|https://www.jumbo.com.ar/quesos-y-fiambres/quesos/quesos-rallados
Quesos y Fiambres|Quesos|Ricota|https://www.jumbo.com.ar/quesos-y-fiambres/quesos/ricota
Quesos y Fiambres|Salchichas|-|https://www.jumbo.com.ar/quesos-y-fiambres/salchichas
Quesos y Fiambres|Picadas|-|https://www.jumbo.com.ar/quesos-y-fiambres/picadas
Lácteos|Cremas|-|https://www.jumbo.com.ar/lacteos/cremas
Lácteos|Dulce de Leche|-|https://www.jumbo.com.ar/lacteos/dulce-de-leche
Lácteos|Leches|Leches Larga Vida|https://www.jumbo.com.ar/lacteos/leches/leches-larga-vida
Lácteos|Leches|Leches Refrigeradas|https://www.jumbo.com.ar/lacteos/leches/leches-refrigeradas
Lácteos|Leches|Leches Saborizadas|https://www.jumbo.com.ar/lacteos/leches/leches-saborizadas
Lácteos|Leches|Leches Vegetales|https://www.jumbo.com.ar/lacteos/leches/leches-vegetales
Lácteos|Mantecas y Margarinas|Manteca|https://www.jumbo.com.ar/lacteos/mantecas-y-margarinas/manteca
Lácteos|Mantecas y Margarinas|Margarinas|https://www.jumbo.com.ar/lacteos/mantecas-y-margarinas/margarinas
Lácteos|Pastas Frescas y Tapas|Fideos y Ñoquis|https://www.jumbo.com.ar/lacteos/pastas-frescas-y-tapas/fideos-y-noquis
Lácteos|Pastas Frescas y Tapas|Grasas|https://www.jumbo.com.ar/lacteos/pastas-frescas-y-tapas/grasas
Lácteos|Pastas Frescas y Tapas|Masas y Lavaduras|https://www.jumbo.com.ar/lacteos/pastas-frescas-y-tapas/masas-y-lavaduras
Lácteos|Pastas Frescas y Tapas|Pastas Rellenas|https://www.jumbo.com.ar/lacteos/pastas-frescas-y-tapas/pastas-rellenas
Lácteos|Pastas Frescas y Tapas|Tapas|https://www.jumbo.com.ar/lacteos/pastas-frescas-y-tapas/tapas
Lácteos|Postres|-|https://www.jumbo.com.ar/lacteos/postres
Lácteos|Yogures|Yogures Descremados|https://www.jumbo.com.ar/lacteos/yogures/yogures-descremados
Lácteos|Yogures|Yogures Enteros|https://www.jumbo.com.ar/lacteos/yogures/yogures-enteros
Congelados|Comidas Congeladas|Pizzas|https://www.jumbo.com.ar/congelados/comidas-congeladas/pizzas
Congelados|Comidas Congeladas|Empanadas y Tartas|https://www.jumbo.com.ar/congelados/comidas-congeladas/empanadas-y-tartas
Congelados|Comidas Congeladas|Comidas Congeladas|https://www.jumbo.com.ar/congelados/comidas-congeladas/comidas-congeladas
Congelados|Frutas|-|https://www.jumbo.com.ar/congelados/frutas
Congelados|Hamburguesas y Milanesas|-|https://www.jumbo.com.ar/congelados/hamburguesas-y-milanesas
Congelados|Helados y Postres|Helados|https://www.jumbo.com.ar/congelados/helados-y-postres/helados
Congelados|Helados y Postres|Postres|https://www.jumbo.com.ar/congelados/helados-y-postres/postres
Congelados|Papas|-|https://www.jumbo.com.ar/congelados/papas
Congelados|Pescados y Mariscos|-|https://www.jumbo.com.ar/congelados/pescados-y-mariscos
Congelados|Pollo y Carnes|-|https://www.jumbo.com.ar/congelados/pollo-y-carnes
Congelados|Vegetales|-|https://www.jumbo.com.ar/congelados/vegetales
Congelados|Panaderia|-|https://www.jumbo.com.ar/congelados/panaderia
Panadería y Repostería|Panadería|Panadería|https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/panaderia
Panadería y Repostería|Panadería|Pizzas y Prepizzas|https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/pizzas-y-prepizzas
Panadería y Repostería|Panadería|Sándwiches|https://www.jumbo.com.ar/panaderia-y-reposteria/panaderia/sandwiches
Panadería y Repostería|Repostería|-|https://www.jumbo.com.ar/panaderia-y-reposteria/reposteria
Comidas Preparadas|Menú Caliente|-|https://www.jumbo.com.ar/comidas-preparadas/menu-caliente
Comidas Preparadas|Menú Frío|-|https://www.jumbo.com.ar/comidas-preparadas/menu-frio
Comidas Preparadas|Postres|-|https://www.jumbo.com.ar/comidas-preparadas/postres
Perfumería|Cuidado Capilar|Coloración|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/coloracion
