id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""|NATURA|Aderezo Salsa Golf Natura 250gr|92.0|||||Almacén > Aderezos > Salsas Golf|191230-512-512|salsa-golf-natura/p
""|""|""|0|||||Almacén > Aderezos > Salsas Golf||""
""|HELLMANN´S|Ketchup Hellmanns 250gr Doypack|139.0|||||Almacén > Aderezos > Ketchup|652700-512-512|ketchup-hellmanns-250-g-doypack/p
""|""|""|0|||||Almacén > Aderezos > Ketchup||""
""|HEINZ|Aderezo Ketchup Heinz Rocket Up Side Down 397gr|343.2|||||Almacén > Aderezos > Ketchup|554953-512-512|ketchup-heinz-x-397-gr/p
""|KANSAS|Ketchup Kansas 465gr|319.0|||||Almacén > Aderezos > Ketchup|619308-512-512|ketchup-kansas-465-gr/p
""|MOLTO|Ketchup Molto 250gr|76.0|||||Almacén > Aderezos > Ketchup|654794-512-512|ketchup-molto-250-gr/p
""|MOLTO|Ketchup Molto 500gr|154.0|||||Almacén > Aderezos > Ketchup|654792-512-512|ketchup-molto-500gr/p
""|LA PARMESANA|Aderezo Sabor Humo 180ml|140.4|||||Almacén > Aderezos > Ketchup|471609-512-512|aderezo-sabor-humo-x180ml/p
""|LA PARMESANA|Ketchup La Parmesana 300gr|122.35|||||Almacén > Aderezos > Ketchup|662562-512-512|ketchup-la-parmesana-300gr/p
""|ALELUYA|Honey Ketchup Aleluya 350gr|390.5|||||Almacén > Aderezos > Ketchup|662015-512-512|honey-ketchup-aleluya-350g/p
""|ALELUYA|Honey Ketchup Aleluya 200gr|251.9|||||Almacén > Aderezos > Ketchup|621385-512-512|honey-ketchup-aleluya-200g/p
""|DOS ANCLAS|Salsa De Soja Tradicional Dos Anclas 500ml|312.2|||||Almacén > Aderezos > Salsas Frías|414187-512-512|salsa-de-soja-tradicional-dos-anclas-500-ml/p
""|""|""|0|||||Almacén > Aderezos > Salsas Frías||""
""|DOS ANCLAS|Salsa Barbacoa Dos Anclas 425gr|275.0|||||Almacén > Aderezos > Salsas Frías|206414-512-512|salsa-dos-anclas-barbacoa-x425gr/p
""|LA PARMESANA|Salsa Barbacoa La Parmesana 300gr|117.8|||||Almacén > Aderezos > Salsas Frías|650685-512-512|salsa-la-parmesana-2/p
""|DOS ANCLAS|Salsa Cesar Dos Anclas 360gr|272.5|||||Almacén > Aderezos > Salsas Frías|198078-512-512|salsa-dos-anclas-light-x360gr/p
""|DOS ANCLAS|Salsa Ali Oli Dos Anclas 360gr|283.9|||||Almacén > Aderezos > Salsas Frías|198082-512-512|salsa-dos-anclas-ali-oli-x360gr/p
""|LA PARMESANA|Salsa Cesar La Parmesana 300gr|131.45|||||Almacén > Aderezos > Salsas Frías|650678-512-512|salsa-la-parmesana-x-300-gr-3/p
""|DOS ANCLAS|Salsa Dos Anclas Cheddar 360gr|314.1|||||Almacén > Aderezos > Salsas Frías|536826-512-512|salsa-dos-anclas-cheddar-360-gr/p
""|DOS ANCLAS|Salsa Ranch Dos Anclas 360gr|282.7|||||Almacén > Aderezos > Salsas Frías|205385-512-512|salsa-dos-anclas-ranch-x360gr/p
""|TABASCO|Salsa Picante Tabasco® Jalapeño Verde 60ml|519.0|||||Almacén > Aderezos > Salsas Frías|584144-512-512|salsa-picante-tabasco-jalapeno-verde-60-ml/p
""|LA PARMESANA|Salsa Inglés La Parmesana 180gr|124.2|||||Almacén > Aderezos > Salsas Frías|190623-512-512|salsa-la-parmesana-x-180-ml-2/p
""|TAU DELTA|Aderezo Tau Bbq 340gr|308.6|||||Almacén > Aderezos > Salsas Frías|640919-512-512|aderezo-tau-bbq-340-g/p
""|LA PARMESANA|Salsa Picante La Parmesana 180gr|127.4|||||Almacén > Aderezos > Salsas Frías|524210-512-512|salsa-la-parmesana-x-180-ml/p
""|YBARRA|Salsa Ybarra Ali Oli 225cc|705.19|||||Almacén > Aderezos > Salsas Frías|637985-512-512|salsa-ybarra-ali-oli-225cc/p
""|PAMPA GOURMET|Sweet Glaze Organico Pampa Gourmet 340gr|650.0|||||Almacén > Aderezos > Salsas Frías|621419-512-512|sweet-glaze-organico-pampa-gourmet-340g/p
""|LA PARMESANA|Salsa La Parmesana-picante-amarilla-bot- cc .-180|127.4|||||Almacén > Aderezos > Salsas Frías|650686-512-512|salsa-la-parmesana-4/p
""|DOS ANCLAS|Salsa Spicy Dos Anclas 360gr|283.9|||||Almacén > Aderezos > Salsas Frías|199486-512-512|salsa-dos-anclas-spicy-x360gr/p
