"";"nombre";"marca";"precio";"pagina";"imagen";"departamento";"categoria";"subcategoria"
"1";"Tabla Alemana";"SIN MARCA";1450;"tabla-alemana/p";"535535";"Quesos y Fiambres";"Picadas";"-"
"2";"Tabla Criolla";"SIN MARCA";1480;"tabla-criolla/p";"535539";"Quesos y Fiambres";"Picadas";"-"
"3";"Tabla De Quesos Y Fiambres";"SIN MARCA";1840;"tabla-de-quesos-y-fiambres-3/p";"535537";"Quesos y Fiambres";"Picadas";"-"
"4";"Tabla Porteña";"SIN MARCA";1840;"tabla-portena/p";"535538";"Quesos y Fiambres";"Picadas";"-"
"5";"Tabla Tradicional";"SIN MARCA";675;"tabla-tradicional/p";"535540";"Quesos y Fiambres";"Picadas";"-"
"6";"Tabla Amigos";"SIN MARCA";1910;"tabla-amigos/p";"535534";"Quesos y Fiambres";"Picadas";"-"
"7";"Tabla Capresse";"SIN MARCA";2270;"tabla-capresse/p";"535532";"Quesos y Fiambres";"Picadas";"-"
