id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""||Papel Higienico Vual Natural Blanco 50 Mt|25.83|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1184.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9369/s/papel-higienico-vual-natural-blanco-50-mt-1184/category/249/
""||Papel Higienico Esencial Natural 50 Mt|30.45|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13795.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6760/s/papel-higienico-esencial-natural-50-mt-13795/category/249/
""||Papel Higienico Esencial Natural 4x30 Mt|45.26|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14279.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6643/s/papel-higienico-esencial-natural-4x30-mt-14279/category/249/
""||Papel Higienico Vual Excel Blanco 4x30 Mt|48.88|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13207.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6935/s/papel-higienico-vual-excel-blanco-4x30-mt-13207/category/249/
""||Papel Higienico Vual Ecologico 4x30 Mt|48.97|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1196.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9362/s/papel-higienico-vual-ecologico-4x30-mt-1196/category/249/
""||Papel Higienico Esencial Texturado 4x30 Mt|49.9|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13673.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6799/s/papel-higienico-esencial-texturado-4x30-mt-13673/category/249/
""||Papel Higienico Higienol Export Plus 4x30 Mt|56.37|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/5/15833.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6173/s/papel-higienico-higienol-export-plus-4x30-mt-15833/category/249/
""||Papel Higienico Esencial Nattral 4x50 Mt|58.22|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14801.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6486/s/papel-higienico-esencial-nattral-4x50-mt-14801/category/249/
""||Papel Higienico Elite Simple Hoja 4x30 Mt|59.15|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/4/24915.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/1491/s/papel-higienico-elite-simple-hoja-4x30-mt-24915/category/249/
""||Papel Higienico Vual Natural 4x50 Mt|62.85|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1185.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9368/s/papel-higienico-vual-natural-4x50-mt-1185/category/249/
""||Papel Higienico Vual Ecologico 6x30 Mt|69.33|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1193.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9364/s/papel-higienico-vual-ecologico-6x30-mt-1193/category/249/
""||Papel Higienico Esencial Doble Hoja Clasica 4x20 Mt|70.26|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/3/23622.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/2605/s/papel-higienico-esencial-doble-hoja-clasica-4x20-mt-23622/category/249/
""||Bolsa Esencial Residuos N�3 45x60 Cm|32.3|||||Limpieza > Cocina > Bolsas|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/5/15764.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6206/s/bolsa-esencial-residuos-n-3-45x60-cm-15764/category/251/
""||Bolsa El Buda Residuos N�3 45x60 Cm|32.3|||||Limpieza > Cocina > Bolsas|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/2/12445.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/7114/s/bolsa-el-buda-residuos-n-3-45x60-cm-12445/category/251/
""||Bolsa Esencial Residuos N�5 50x70 Cm|38.79|||||Limpieza > Cocina > Bolsas|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/5/15765.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6205/s/bolsa-esencial-residuos-n-5-50x70-cm-15765/category/251/
