id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""||Papel Higienico Vual Natural Blanco 50 Mt|23.97|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1184.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9369/s/papel-higienico-vual-natural-blanco-50-mt-1184/category/249/
""||Papel Higienico Esencial Natural 50 Mt|24.9|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13795.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6760/s/papel-higienico-esencial-natural-50-mt-13795/category/249/
""||Papel Higienico Esencial Natural 4x30 Mt|44.34|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14279.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6643/s/papel-higienico-esencial-natural-4x30-mt-14279/category/249/
""||Papel Higienico Vual Ecologico 4x30 Mt|48.97|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1196.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9362/s/papel-higienico-vual-ecologico-4x30-mt-1196/category/249/
""||Papel Higienico Esencial Texturado 4x30 Mt|49.9|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13673.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6799/s/papel-higienico-esencial-texturado-4x30-mt-13673/category/249/
""||Papel Higienico Vual Excel Blanco 4x30 Mt|51.74|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13207.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6935/s/papel-higienico-vual-excel-blanco-4x30-mt-13207/category/249/
""||Papel Higienico Esencial Blanco 4x30 Mt|53.59|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/3/13689.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6795/s/papel-higienico-esencial-blanco-4x30-mt-13689/category/249/
""||Papel Higienico Esencial Nattral 4x50 Mt|58.22|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14801.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6486/s/papel-higienico-esencial-nattral-4x50-mt-14801/category/249/
""||Papel Higienico Elite Simple Hoja 4x30 Mt|62.85|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/4/24915.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/1491/s/papel-higienico-elite-simple-hoja-4x30-mt-24915/category/249/
""||Papel Higienico Vual Natural 4x50 Mt|63.77|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/1185.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/9368/s/papel-higienico-vual-natural-4x50-mt-1185/category/249/
""||Papel Higienico Esencial Natural 6x30 Mt|64.7|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14278.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6644/s/papel-higienico-esencial-natural-6x30-mt-14278/category/249/
""||Papel Higienico Higienol Export Plus 4x30 Mt|66.55|||||Limpieza > Baño > Papel Higiénico|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/5/15833.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6173/s/papel-higienico-higienol-export-plus-4x30-mt-15833/category/249/
""||Guantes Task Grande Economico|84.13|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/0/20305.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/4418/s/guantes-task-grande-economico-20305/category/256/
""||Guantes Task Mediano Clasico|85.06|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/0/20090.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/4538/s/guantes-task-mediano-clasico-20090/category/256/
""||Guantes Patito Afelpado Grande|89.69|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/7/7/7749.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/7656/s/guantes-patito-afelpado-grande-7749/category/256/
""||Guantes Patito Afelpado Mediano|89.69|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/7/7/7748.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/7657/s/guantes-patito-afelpado-mediano-7748/category/256/
""||Guantes Patito Afelpado Chico|89.69|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/7/7/7747.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/7658/s/guantes-patito-afelpado-chico-7747/category/256/
""||Guantes Task Mediano|100.8|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14787.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6491/s/guantes-task-mediano-14787/category/256/
""||Guantes Task Grande|101.73|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14786.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6492/s/guantes-task-grande-14786/category/256/
""||Guantes Mapa Afelpado Extra Grande|132.27|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/4/3/43189.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/174/s/guantes-mapa-afelpado-extra-grande-43189/category/256/
""||Guantes Esencial Afelpado Grande|191.51|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14140.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6680/s/guantes-esencial-afelpado-grande-14140/category/256/
""||Guantes Esencial Afelpado Mediano|191.51|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14138.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6681/s/guantes-esencial-afelpado-mediano-14138/category/256/
""||Guantes Esencial Afelpado Chico|191.51|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/4/14133.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6685/s/guantes-esencial-afelpado-chico-14133/category/256/
""||Guantes Virulana Mediano|120.23|||||Limpieza > Cocina > Guantes|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/1/11790.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/7243/s/guantes-virulana-mediano-11790/category/256/
""||Bolsa Molto Ecologica|30.45|||||Limpieza > Cocina > Bolsas De Feria|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/5/25067.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/1354/s/bolsa-molto-ecologica-25067/category/252/
""||Bolsa Marolio Ecologica|30.45|||||Limpieza > Cocina > Bolsas De Feria|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/1/5/15699.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/6221/s/bolsa-marolio-ecologica-15699/category/252/
""||Bolsa Busgran Feria Plastico|267.41|||||Limpieza > Cocina > Bolsas De Feria|https://maxiconsumo.com/pub/media/catalog/product/cache/8721ae71a8b276de5ff5b8923d829701/2/1/21503.jpg|https://maxiconsumo.com/sucursal_capital/catalog/product/view/id/3777/s/bolsa-busgran-feria-plastico-21503/category/252/
