id|nombre|precio|rubro|url_imagen|url_producto
00105|Jamon Crudo Marolio 1kg|950.33|Fiambreria > Fiambres > Jamones Crudos|8721ae71a8b276de5ff5b8923d829701/1/8/18055.jpg|5374/s/jamon-crudo-marolio-1-kg-18055/category/13/
00106|Jamon Crudo 3756 Pernil Cerdo 1kg|623.8|Fiambreria > Fiambres > Jamones Crudos|8721ae71a8b276de5ff5b8923d829701/4/2/4227.jpg|8549/s/jamon-crudo-3756-pernil-cerdo-1-kg-4227/category/13/
00107|Jamon Cocido Cagnoli Chico 1kg|400.74|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/2/4/24525.jpg|1842/s/jamon-cocido-cagnoli-chico-1-kg-24525/category/118/
00108|Jamon Cocido Marolio 1kg|0|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/1/8/18051.jpg|5378/s/jamon-cocido-marolio-1-kg-18051/category/118/
00109|Jamon Cocido Sadia 1kg|313.14|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/1/7/17241.jpg|5704/s/jamon-cocido-sadia-1-kg-17241/category/118/
00110|Cep.dental Oral B Indicator|160.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/5/0/50447.jpg|64/s/cep-dental-oral-b-indicator-50447/category/52/
00111|J.crudo San Diego 1/2listo 1kg|37.86|Fiambreria > Fiambres > Jamones Crudos|8721ae71a8b276de5ff5b8923d829701/5/1/51104.jpg|13/category/13/
00112|Toallitas Humedas Q-soft Facial Hidratante 25un|137.93|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/2/22125.jpg|3445/s/toallitas-humedas-q-soft-facial-hidratante-25-un-22125/category/89/
00113|Antitranspirante Masculino Rexona Barra V8 50gr|139.9|Perfumeria > Desodorantes Personales > Des-Antitr. Barra-Crema|8721ae71a8b276de5ff5b8923d829701/3/2/3232.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/desodorantes-personales/des-antitr-barra-crema/ant-mas-rexona-bar-v8-50-gr-3232.html
00114|Toallitas Humedas Estrella Antibacteriales 40un|0|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/3/23237.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/toallitas-humedas/t-humed-estrella-antibact-40-un-23237.html
00115|Toallitas Humedas Pond's Desmaquillante Evening 28un|0|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/3/23023.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/toallitas-humedas/t-humed-pond-s-desm-eveni-28-un-23023.html
00116|Toallitas Humedas Pond's Desmaquillante Original 28un|0|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/3/23022.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/toallitas-humedas/t-humed-pond-s-desm-p-norm-28-un-23022.html
00117|Pañuelo Patricia Allen Expendedor 24x10un|0|Perfumeria > Higiene Personal > Pañuelos|8721ae71a8b276de5ff5b8923d829701/2/3/23642.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/pa-uelos/panuelo-pat-allen-expendedor-24x10-un-23642.html
00118|Pañuelo Patricia Allen Pocket 10x10un|0|Perfumeria > Higiene Personal > Pañuelos|8721ae71a8b276de5ff5b8923d829701/2/3/23640.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/pa-uelos/panuelo-pat-allen-pocket-10x10-un-23640.html
