nombre|precio|url_producto|url_imagen|rubro|id
SHAMPOO JOHNSON�S TRADICIONAL 750 CC|380.08|/9/s/shampoo-johnson-s-tradicional-750-cc-121260/category/10/|/8721ae71a8b276de5ff5b8923d829701/1/2/121260.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|01689
ACOND. PLUSBELLE .ESEN.F.REP 1 lt|88.35|/322/s/acond-plusbelle-esen-f-rep-1-lt-26200/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/6/26200.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|00038
SHAMP. PLUSBELLE .ESEN.F.REP 1 lt|88.35|/323/s/shamp-plusbelle-esen-f-rep-1-lt-26199/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/6/26199.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|00039
ACOND. PLUSBELLE .ESEN.L.SAL 1 lt|88.35|/873/s/acond-plusbelle-esen-l-sal-1-lt-25596/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25596.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|02692
ACOND. PLUSBELLE .ESEN.RESTA 1 lt|88.35|/874/s/acond-plusbelle-esen-resta-1-lt-25595/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25595.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|00041
ACOND. PLUSBELLE .ESEN.C.FRI 1 lt|88.35|/875/s/acond-plusbelle-esen-c-fri-1-lt-25594/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25594.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|02693
SHAMP. PLUSBELLE .ESEN.L.SAL 1 lt|88.35|/876/s/shamp-plusbelle-esen-l-sal-1-lt-25593/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25593.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|02694
SHAMP. PLUSBELLE .ESEN.RESTA 1 lt|88.35|/877/s/shamp-plusbelle-esen-resta-1-lt-25592/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25592.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|02695
SHAMP. PLUSBELLE .ESEN.C.FRI 1 lt|88.35|/878/s/shamp-plusbelle-esen-c-fri-1-lt-25591/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/5/25591.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|02696
SHAMPOO SUAVE PALTA Y ARGAN 930 ML|59.42|/1760/s/shampoo-suave-palta-y-argan-930-ml-24620/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/4/24620.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|01690
ACONDICIONADOR SUAVE PALTA Y ARGAN 930 ML|59.42|/1761/s/acondicionador-suave-palta-y-argan-930-ml-24619/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/4/24619.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|01691
SHAMPOO SUAVE MANZANILLA 930 ML|59.42|/1762/s/shampoo-suave-manzanilla-930-ml-24618/category/10/|/8721ae71a8b276de5ff5b8923d829701/2/4/24618.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Fliar|01692
SHAMPOO PANTENE RESTAURACION 750 CC|0|/26/s/shampoo-pantene-restauracion-750-cc-50999/category/25/|/8721ae71a8b276de5ff5b8923d829701/5/0/50999.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Pers|01654
SHAMPOO PANTENE BRILLO EXTREMO 750 CC|295.9|/27/s/shampoo-pantene-brillo-extremo-750-cc-50994/category/25/|/8721ae71a8b276de5ff5b8923d829701/5/0/50994.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Pers|01655
ACONDICIONADOR PANTENE HIDRATACION 750 CC|295.9|/37/s/acondicionador-pantene-hidratacion-750-cc-50872/category/25/|/8721ae71a8b276de5ff5b8923d829701/5/0/50872.jpg|Perfumeria > Cabello > Shamp-Cr-Acond.Pers|01656
