COD.PROD;PRODUCTO;TOTAL;;0
7552;JUGO INCA LIGHT NARANJA SOB-100901-X10GR;3825;0,00272067863640554;0,497173613218353
29035;CALDO KNORR GALLINA REC. COLEC.    X12UN;3810;0,00271000930841964;0,499883622526772
37052;MAQ.AF.MINORA TWIN CARTEL-59793-    X1UN;3756;0,00267159972767038;0,502555222254443
78031;JUGO INCA BC PERA SOBRE -          X30GR;3620;0,00257486448726485;0,505130086741707
41832;ACOND.SEDAL REC.ESTRUC.-961669-    X10ML;3600;0,00256063871661698;0,507690725458324
92006;SALCHICHA VIENA CARCARAÐA -         X6UN;3585;0,00254996938863108;0,510240694846955
19008;ALCOHOL FRAU PURO PVC             X250CC;3582;0,00254783552303389;0,512788530369989
77665;VINO TERMIDOR BLANCO TETRA BRICK    X1LT;3519;0,0025030243454931;0,515291554715482
90948;YOGUR MANFREY YOFREY ENT.FRUTILLA X120GR;3516;0,00250089047989592;0,517792445195378
90217;YOGUR RAMOLAC ENT.PO.FRUTILLA     X125GR;3514;0,00249946790283113;0,52029191309821
21282;BICARBONATO LA CAMPIÐA             X20GR;3498;0,00248808728631283;0,522780000384522
77623;jugo ades naranja t.b. -135994-     x1lt;3491;0,00248310826658608;0,525263108651108
18271;FOSFOROS FAMILIAR                 X220UN;3461;0,00246176961061427;0,527724878261723
20441;JABON PAN ALA (ESPUMA)            X200GR;3457;0,00245892445648469;0,530183802718207
34024;GRASA DE VACA SWIFT               X500GR;3455;0,00245750187941991;0,532641304597627
29007;CALDO KNORR VERDURA REC.COLEC.     X12UN;3421;0,00243331806931852;0,535074622666946
78028;JUGO INCA BC NARANJA-MANGO SOBRE-  X30GR;3407;0,00242336002986501;0,537497982696811
23113;ACEITE COCINERO GIRASOL -7.77-    X1.5LT;3277;0,00233089252065385;0,539828875217465
77905;VINO TERMIDOR TINTO TB PROMO-       X1LT;3266;0,00232306834679752;0,542151943564262
21035;PIMENTON VILLA RICA -              X25GR;3260;0,00231880061560315;0,544470744179865
90291;MANTECA COTAMPO PAN ALUM.-        X100GR;3256;0,00231595546147358;0,546786699641339
4035;YERBA AMANDA                      X500GR;3203;0,00227825716925672;0,549064956810596
38055;ACEITUNA VERDE LA RIOJANITA P.PACK X130G;3126;0,00222348795226241;0,551288444762858
1309;GALLETA LIA POLVORITA FRUTILL.-2881-X80G;3119;0,00221850893253566;0,553506953695394
77368;jugo ades naranja t.b.            x200cc;3073;0,00218578966004555;0,555692743355439
11372;PURE TOMATE NOEL TETRA BRICK-019- X520GR;3002;0,0021352881742456;0,557828031529685
18311;VELAS VICTORIA -128-               X68GR;3001;0,00213457688571321;0,559962608415398
3014;POLENTA JOSE LOPEZ                X500GR;2994;0,00212959786598645;0,562092206281384
3084;POLENTA LA ESPAÐOLA               X500GR;2994;0,00212959786598645;0,564221804147371
17595;PAPEL HIG.HIGIENOL SIN FIN -60MT-   X6UN;2987;0,0021246188462597;0,566346422993631
20998;JABON POLVO ALA REGULAR PROMO.  1X400 GR;2975;0,00211608338387098;0,568462506377502
4111;YERBA CACHAMATE ROSA              X500GR;2958;0,00210399147882029;0,570566497856322
18016;FOSFOROS FRAGATA                   X40UN;2941;0,00209189957376959;0,572658397430091
7622;JUGO BAGGIO JUNIOR DURAZNO        X125ML;2888;0,00205420128155273;0,574712598711644
92342;SALCHICHA VIENA DON OTTO            X6UN;2883;0,00205064483889076;0,576763243550535
32052;LECHE LV MILKAUT-2132-DES.VIT.A,DYC X1LT;2852;0,00202859489438656;0,578791838444921
1308;GALLETA LIA POLVORITA CHOCOL.-2884-X80GR;2846;0,0020243271631922;0,580816165608114
13190;LAVANDINA AYUDIN MAXIMA PUREZA-     X1LT;2829;0,00201223525814151;0,582828400866255
9651;ARROZ SUSARELLI LARGO FINO-93244- X500GR;2814;0,00200156593015561;0,584829966796411
23117;ACEITE LEGITIMO GIRASOL PVC-4.24- X900CC;2806;0,00199587562189646;0,586825842418307
9209;ARROZ PELEADOR BLUE BONET           X1KG;2766;0,00196742408060071;0,588793266498908
1310;GALLETA LIA POLVORITA VAINIL-2880- X80GR;2762;0,00196457892647114;0,590757845425379
23097;aceite cocinero girasol -4.57-    x900cc;2745;0,00195248702142045;0,592710332446799
90950;YOGUR MANFREY YOFREY ENT.VAINILLA X120GR;2702;0,00192190161452752;0,594632234061327
20009;JABON PAN GIGANTE LIMP.CLASICA-   X200GR;2701;0,00192119032599513;0,596553424387322
17028;PAPEL HIG.CAMPANITA CLASSIC -30MT-  X4UN;2689;0,00191265486360641;0,598466079250929
29076;SOPA KNORR CASERA POLLO C/CAB.ANG.   XUN;2686;0,00191052099800922;0,600376600248938
17437;PAPEL HIG.HIGIENOL EXPORT 30M-1465- X6UN;2660;0,00189202749616699;0,602268627745105
9245;FIDEO LA PROVIDENCIA MOÐO -       X500GR;2647;0,00188278074524587;0,604151408490351
77666;VINO TERMIDOR ROSADO TETRA BRICK    X1LT;2627;0,001868554974598;0,606019963464949
9226;FIDEO LA PROVIDENCIA CODO -       X500GR;2584;0,00183796956770508;0,607857933032654
20119;JABON POLVO DRIVE REG.BRISA TARDE X400GR;2563;0,00182303250852481;0,609680965541179
3050;POLENTA PRESTOPRONTA-6600-        X500GR;2547;0,00181165189200651;0,611492617433185
20228;JABON TOC.KENIA VARIEDAD-1266-    3X90GR;2538;0,00180525029521497;0,6132978677284
