COD.PROD;PRODUCTO;TOTAL
20236;jabon toc.lux refrescate -934226- x125gr;2625,92
6051;SARDINA ACEITE BAHIA -            X125GR;2625,79
9268;FIDEO FAVORITA SPAGHETTI-17164-   X500GR;2625,47
31239;ANTIT.DOVE CLASICO AERO.-939542-  X100GR;2622,97
41482;SHAMPOO PLUSBELLE BAM/ALOE C/AMINOB-X1LT;2598,65
90155;YOGUR RAMOLAC ENT.PO.VAINILLA-    X140GR;2593,24
7782;JUGO BAGGIO MULTIFRUTA T.B.-12611-X200CC;2587,79
86007;LEVADURA LEVINA -                 X500GR;2576,97
41969;ACOND.SEDAL CERAMIDA SOS-         X200ML;2571,19
37031;MAQ.AF.MINORA I I  FIJA-59792-      X5UN;2570,26
17688;PAÐAL BABYSAN H.P. XXGDE -59378-   X44UN;2564,32
11368;EXTRACTO TOMATE OTITO             X150GR;2551,16
41970;ACOND.SEDAL SOS  BALANCE          X200ML;2536,71
78028;JUGO INCA BC NARANJA-MANGO SOBRE-  X30GR;2532,49
20275;jabon toc.lux sorprendeme -934227-x125gr;2528,59
3138;BURGOL BEDOIAN FINO               X500GR;2522,94
6036;SARDINA ACEITE CUMANA-31712-      X125GR;2519,65
3117;PAN RALLADO PREFERIDO -          5X500GR;2512,54
41170;SHAMPOO SEDAL SOS CREMA           X200ML;2510,12
92029;MEDALLON DE CARNE LA BLANCA -     X112GR;2499,88
17230;TOALLA ALWAYS BASICA C/ALAS -       X8UN;2499,43
17544;PAÐAL BABYSEC ULTRA MED.C/BARRERA X10UN;2495,06
4269;TE LA VIRGINIA SAQ.PAPEL FILT.RAP-X100UN;2494,37
6315;PICADILLO CHANGUITO CARNE          X90GR;2487,91
21129;COMINO MOLIDO LA CAMPIÐA-11304-     X1KG;2482,68
41477;ACOND.PLUSBELLE LECHE/ALM.C/AMINOB- X1LT;2472,53
97179;PAN HAMBURGUESA DON FRANCISCO -     X4UN;2466,17
20048;JABON POLVO ARIEL BE -8834-       X400GR;2460,59
93139;MORTADELA BOLOGNA DON OTTO -         XKG;2456,60
9218;FIDEO MATARAZZO SPAGHETTI-40150-  X500GR;2455,16
15014;EDULCORANTE SI-DIET LIQUIDO      -X500CC;2435,13
20496;JABON POLVO ALA MATIC MULTIACCION   X5KG;2427,06
95103;RAVIOLES VIA VESPUCCI POLLO/VERD.-X500GR;2426,64
28224;MERMELADA NOEL DURAZNO FCO.-5165- X454GR;2423,70
25075;MOSTAZA SAVORA SACHET   -131591-   X3KG;2419,36
17409;PAÐUELO DESC.ELITE-CARILINA-5456- 6X10UN;2413,70
17556;PAPEL HIG.ROLISU     30M        -61-X6UN;2405,42
9028;FIDEO LA PROV.C/L 5X500+P.T.MORA 5X520GR;2396,64
6361;CABALLA NATURAL PUGLISI           X380GR;2381,10
20218;JABON TOC.PLUSBELLE ENERG.C/ACEITE-X140G;2371,73
3098;REBOZADOR MAMA COCINA FREIR-      X500GR;2370,37
77798;FERNET VITTONE ( DE F.BRANCA )    X450CC;2367,26
34003;GRASA DE VACA INSUGA REF.         X500GR;2358,43
37017;MAQ.AF.PRESTOBARBA 3 HOMBRE-804-    X2UN;2352,12
17060;PAPEL HIG.HIGIENOL MAX NUEVA IMAGEN-X4UN;2351,24
4612;YERBA COMPUESTA CBSE -3111-         X1KG;2348,30
17136;PAPEL HIG.HIGIENOL MAX NUEVA IMAGEN-X8UN;2344,82
36007;QUESO RALLADO SANCOR REGGIAN.-1402-X40GR;2332,45
29156;SOPA KNORR CASERA VERD/CARNE C/DED-  XUN;2327,55
13842;LIMP.LIQ.POETT BEBE      -2570-   X900CC;2324,65
20534;JABON TOC.REXONA-30532-NUT/FRESH  X125GR;2314,37
77246;VINO VIÐAS DE ALVEAR TINTO -113- X1.25CC;2309,46
3054;AVENA QUAKER TRAD.CALCHIERRO PLUS-X400GR;2309,11
13913;DETERGENTE MAGISTRAL  -          6X300ML;2305,73
4044;YERBA BROCHE DE ORO                 X1KG;2302,97
91139;QUESO SARDO SANTA ELENA              XKG;2300,07
11049;choclo cumana grano amarillo -    x350gr;2294,46
31203;TALCO REXONA EFFICIENT POLVO-6191-X200GR;2293,83
20533;JABON TOC.REXONA-30512-MTA/FRESH  X125GR;2287,46
93007;MORTADELA CAÐON 808 -1104-           XKG;2283,90
20532;JABON TOC.REXONA-30511-SENS/FRESH X125GR;2275,70
41489;SHAMPOO PLUSBELLE LIN/MIEL C/AMINOB-X1LT;2268,43
17585;PAÐAL BABYSEC CLAS.TANGA MP XGDE - X16UN;2263,39
16034;BIZCOCHUELO EXQUISITA VAIN.0%G.TR-X540GR;2258,86
20198;JABON POLVO SKIP INTE.PERF.RESUL. X800GR;2258,48
13417;LIMP.LIQ.JARDIN ANTIB.ARPEGE CREM-X900C;2255,73
18073;LAMPARA OSRAM DULUX VALUE 15W/865-   XUN;2251,90
29067;SOPA KNORR CASERA POLLO C/MUN.-9524-XUN;2246,89
93251;FIAMBRE COCIDO D/PALETA CERDO 131    XKG;2241,96
29051;SOPA KNORR CREMA VERDURA -218050-    XUN;2227,19
41508;ACOND.SUAVE MIEL Y ALMENDRAS      X930ML;2200,57
20531;JABON TOC.REXONA-30521-AQUA FRESH X125GR;2183,19
29008;SOPA KNORR CREMA ARVEJA C/JAMON-6450-XUN;2177,86
31699;CREMA DENTAL COLGATE TOT/12-11113-X180GR;2175,41
90260;ACTIMEL-566-0% FRUTILLA PACK     6X100GR;2171,00
13317;LAVANDINA TRADIC.X5 BIDON -9031-    X4LT;2168,38
3173;FECULA MAIZENA ESTUCHE -          X200GR;2166,55
13590;DETERGENTE ALA COLAGENO-236010-   X750CC;2163,63
21136;OREGANO EN HOJAS LA CAMPIÐA-11351-X250GR;2157,04
17687;PAÐAL BABYSAN H.P. XG -59434-      X44UN;2156,36
29158;SOPA KNORR CASERA GALL.C/CAR-217162- XUN;2152,13
13479;SUAVIZANTE VIVERE DIA/DIA DP-4764-X900CC;2148,82
1023;GALLETA TRIO PEPAS       -0108-   X200GR;2144,45
21004;COMINO VILLA RICA  -6804-          X25GR;2138,23
90102;YOGUR GRAN COMPRA-340-FRUT.SACH.    X1KG;2137,36
11375;PURE TOMATE OTITO                 X520GR;2127,73
13670;DETERGENTE GIGANTE LIMON -1284-   X750ML;2120,44
7552;JUGO INCA LIGHT NARANJA SOB-100901-X10GR;2111,25
93157;SALAME MILAN C/FAJA FRIGOFE          XKG;2110,19
20535;JABON TOC.REXONA-30525-NAT/FRESH  X125GR;2108,79
25020;KETCHUP HELLMANNS -192305-SACHET   X60GR;2107,55
13059;LUSTRAMUEBLE BLEM LAV.AER-331-    X360CC;2103,88
9652;ARROZ SUSARELLI DOBLE -93242-     X500GR;2100,78
28089;DULCE MEMBRILLO LA RIOJANITA(C)     X5KG;2096,67
4155;YERBA TARAGUI  ENERGIA -473-      X500GR;2088,30
28272;MERMELADA DULCOR DURAZNO LIGHT POT X420G;2081,73
77104;JUGO CLIGHT NARANJA -             X9.7GR;2079,74
13797;DETERGENTE BORA MAGIC PLUS LIMON- X600CC;2078,95
24006;HARINA LA TERESINA 000 BOLSA       X50KG;2073,05
20344;JABON TOC.PLUSBELLE RELAJ.C/ACEITE-X140G;2072,64
1445;GALLETA GRANIX SIN SAL     -22322-X185GR;2063,61
6046;ATUN ACEITE DESMEN.CUMANA-30616-  X170GR;2063,48
3114;REBOZADOR PREFERIDO -            5X500GR;2060,27
17686;PAÐAL BABYSAN H.P. GDE -59433-     X54UN;2039,80
20249;JABON TOC.PLUSBELLE EXFOL.C/ACEITE-X140G;2039,36
13205;DETERGENTE MAGISTRAL LIMON        X600ML;2034,91
13401;DESOD.AMB.POETT LAVANDA -3902-    X360CC;2034,23
4019;YERBA CACHAMATE HIERBAS SERRANAS  X500GR;2019,03
19010;ALCOHOL PURO FRAU PVC             X500CC;2017,31
4215;CAFE DOLCA SUAVE RENOVADO-12168086-X170G;2016,83
41401;ACOND.SEDAL SOS BALANCE -227723-  X300ML;2015,31
4676;YERBA CACHAMATE SILUET     -269-  X500GR;2001,95
50073;TABLETA P/MOSQUITO RAID-365-       X12UN;1993,60
13325;LIMPIADOR CIF CREMA -201137-      X375GR;1993,27
77041;JUGO YAP NARANJA SOBRE -           X35GR;1982,29
17642;TOALLA HUM.HUGGIES CLASSIC -1728-  X64UN;1975,29
31293;CREMA HINDS ROSADA-61031-          X75GR;1968,75
91003;QUESO PORT SALUT RAMOLAC-013-        XKG;1968,30
13526;LAVANDINA TRADIC.X-5 BIDON   -9032- X2LT;1964,55
90928;POSTRE DANETTE-530-D.LECHE PACK   2X95GR;1963,16
77095;JUGO CLIGHT MANZANA DELICIOSA-      X8GR;1954,18
16018;FLAN EXQUISITA VAINILLA       -    X60GR;1934,36
7465;VINO SANTA ISABEL BORGOÐA        X700 CC;1926,00
20122;JABON LIQ.ACE BOTELLA  -8978-       X3LT;1922,78
13145;LAVANDINA AYUDIN ULTRA -9996-       X1LT;1920,30
13423;SUAVIZANTE BORITA BRISA CAMPO     X900CC;1920,03
4677;YERBA PERIQUITA                     X4KG;1917,60
13278;DETERGENTE MAGISTRAL BRISA MARINA X300ML;1914,06
16021;GELATINA EXQUISITA FRUTILLA-40973- X70GR;1905,47
31155;DESOD.AXE MUSK-212145-            X113GR;1900,94
13764;DETERGENTE ROPA F.ALA-CAMELLO-314-X120CC;1896,01
20488;JABON POLVO ALA REG.C/VIV.CEL.MULT.X800G;1883,86
41485;SHAMPOO PLUSBELLE COCO/KAR.C/AMINOB-X1LT;1880,43
4274;YERBA AMANDA SAQUITOS S/SOBRE-     X25UN;1879,30
21001;SAL DOS ESTRELLAS FINA            X500GR;1877,40
17421;PAÐAL BABYSEC ULTRA MP GDE -4107-  X16UN;1871,12
7498;VINO DON VALENTIN LACRADO -       X750CC;1868,47
13705;DETERGENTE ALA ALOE VERA -235970- X750CC;1865,69
13119;LIMP.LIQ.POETT BAMBU  -2625-      X900CC;1857,14
9026;FIDEO LA PROVIDENCIA DEDALITO -   X500GR;1854,84
91257;QUESO DANBO NOAL -008-               XKG;1852,12
95099;RAVIOLES VIA VESPUCCI VERDURA -   X500GR;1831,36
9278;FIDEO LA PROVIDENCIA MUNICION -   X500GR;1826,89
20144;JABON TOC.POLYANA CHARME -11204 - X125GR;1825,95
24028;HARINA LA TERESINA 000  -          X25KG;1825,27
20162;JABON TOC.POLYANA BOUQUET-11205-  X125GR;1823,80
32031;LECHE POLVO SANTA ELENA ENTERA -  X800GR;1821,43
41832;ACOND.SEDAL REC.ESTRUC.-961669-    X10ML;1814,88
4287;YERBA CBSE SABOR.C/NARANJA MAS-3208-X500;1814,24
41478;ACOND.PLUSBELLE MANZ/PERA C/AMINOB- X1LT;1812,64
1086;GALLETA BAGLEY SALVADO -9994-     X214GR;1806,88
20501;JABON TOC.LUX TONO LUMINOSO-934230-X125G;1806,20
20187;JABON LIQ.ARIEL BOTELLA -47649-   X800ML;1796,17
28241;DULCE LECHE SANCOR CLASICO-3186-  X400GR;1794,70
90330;MANTECA SANCOR-1028-PAN           X100GR;1790,08
20492;JABON POLVO ALA MATIC MULTIACCION   X3KG;1779,25
17422;paÐal babysec ultra mp xgde        x14un;1774,97
77155;JUGO BAGGIO NAR-DUR TETRA BRICK-12598-X1;1774,40
17356;PAÐAL PAMPERS JUEG./SUEÐOS GDE-968- X10U;1756,42
4084;YERBA LA HOJA                     X250GR;1752,68
90148;YOGUR ACTIVIA-253-CIRUE.PACK     2X125GR;1748,86
90302;VIDACOL-166-FRUTILLA PACK         4X80GR;1738,69
31023;CREMA DENTAL COLGATE TOTAL 12      X90GR;1733,17
20176;JABON PAN MARIPOSA BLANCO        2X250GR;1729,32
13410;DESOD.AMB.POETT PRIMAVERA -3906-  X360CC;1728,65
28199;MERMELADA NOEL LIGHT DURAZNO FCO- X390GR;1722,67
17691;PAÐAL BABYSAN TRIPACK GDE-59427-   X28UN;1719,83
21014;COMINO ALICANTE                    X25GR;1713,45
78100;JUGO BAGGIO JUNIOR MULTIFRUTA-    X125CC;1713,03
25202;MAYONESA HELLMANNS LIGHT D.P-8767-X237GR;1694,41
20517;JABON POLVO SKIP INT.PERF.RES.CORE  X6KG;1692,56
7061;VINO MICHEL TORINO BORGOÐA-42519-X1.25CC;1691,51
41400;ACOND.SEDAL SOS CERAMIDAS         X300ML;1687,01
13597;LAVANDINA AYUDIN MAXIMA PUREZA-   X250ML;1684,34
18022;FOSFOROS TRES PATITOS ECOLOGICO-  X222UN;1671,81
90404;LECHE LA SERENISIMA C/CALC.DES.SACH-X1LT;1669,41
20247;JABON TOC.PLUSBELLE EQUILIB.ACEITE-X140G;1665,00
25208;MAYONESA D FIESTA SACHET          X100CC;1663,82
41030;SHAMPOO SUAVE MANZANA VERDE       X930ML;1659,51
90294;MANTECA SANCOR-1029-C/VIT.DYE -   X200GR;1658,61
9253;ARROZ PELEADOR BLUE BONET -       10X1KG;1654,54
28126;DULCE LECHE SANCOR-3104-POTE      X250GR;1647,62
18058;LAMPARA SOL DE NOCHE HALOG.42W       XUN;1647,17
19103;POXI-RAN UNTABLE POMO              X23ML;1643,73
3027;FECULA SAN CAYETANO               X500GR;1642,68
20515;JABON POLVO SKIP PERF.RESULTS       X3KG;1636,44
17453;PAÐAL BABYSAN TRI-PACK XGDE -3398-X24UN;1632,40
31066;CREMA DENTAL COLGATE -141-        X140GR;1627,50
41968;ACOND.SEDAL RIZOS OBEDIENTES      X200ML;1622,55
13799;DETERGENTE BORA MAGIC PLUS COLAG.-X600CC;1621,19
41389;SHAMPOO SEDAL CREMA POUCH-        X300ML;1619,39
20030;JABON POLVO DRIVE BR.TARDE REG.-318-X3KG;1613,20
1213;OBLEA BAGLEY OPERA-9509-          X220GR;1606,17
90324;POSTRE DANONINO-827-FRUTILLA BEB.4X100GR;1603,73
41475;ACOND.PLUSBELLE COCO/KAR.C/AMINOB-  X1LT;1599,38
9176;FIDEO LA PROVIDENCIA TALLARIN -     X5KG;1593,51
78026;JUGO INCA BC FRUTOS ROJOS SOBRE-   X30GR;1593,39
17539;paÐal huggies classic mp gde-6605- x30un;1589,57
90101;YOGUR YOGURIS-135-CER.C/ZUCARI.   X166GR;1588,95
13860;DESINFECT.LYSOFORM AIR CITRICA    X327CC;1588,67
9276;ARROZ GALLO ORO BOLSA  -93004-    X500GR;1584,46
13106;ADITIVO AYUDIN ROPA COLOR C/V.      X1LT;1583,75
90234;VIDACOL-166-MULTIFRUTA PACK       4X80GR;1581,99
28279;DULCE BATATA LA RIOJANITA VAIN.CAJ.-X5KG;1580,77
17511;PAÐAL BABYSEC CLASICO TANGA XXGDE - X8UN;1578,97
9114;FIDEO LA PROVID.1X5K+CALDO 1║ MARCA X6UN;1577,00
4640;te taragui saquito   -100035-      x25un;1575,71
95022;TAPA P/EMPANADA LA TUCUMANITA      X12UN;1572,04
41509;ACOND.SUAVE COCO Y LECHE          X930ML;1571,05
6021;CABALLA ACEITE JANDAIA-31813-     X425GR;1570,56
93028;MORTADELA CAÐON FRIGOFE -            XKG;1567,25
90299;YOGUR RAMOLAC ENT.PO.FRUTILLA -   X140GR;1566,09
11111;TOMATE PELADO CANALE PERITA-      X400GR;1564,49
9025;ARROZ SUSARELLI DOBLE -93241-       X1KG;1563,06
17304;toalla s/libre especial c/ala-89063-x8un;1562,42
13741;DETERGENTE GIGANTE CREM/GLIC-1285-X750ML;1556,72
4196;YERBA TARAGUI CON PALO 4 FLEX     X250GR;1550,46
17643;TOALLA LADYSOFT COMFORT C/ALAS-9675-X8UN;1544,86
20225;JABON POLVO ZORRO MATIC BIOCR.-   X400GR;1544,56
9258;CAPELETTINI GIACOMO VERDURA-62011-X500GR;1538,93
90378;FLAN MANFREY S/HUEVO -60009-      X120GR;1538,37
90927;POSTRE DANETTE-530-CHOCOLATE PAC 2X95GR;1534,53
11209;PURE TOMATE CAMPAGNOLA C/AZUC.TB. X520GR;1528,51
13097;PASTILLA P/INOD.GLADE CANAS/SURT-120-X1U;1525,70
9007;FIDEO MATARAZZO TALLARIN-48215-   X500GR;1525,54
9763;FIDEO LUCCHETTI TIRABUZON-30714-  X500GR;1525,51
7486;JUGO INCA BC NAR/DURAZNO SOBRE-    X30GR;1523,94
25026;MAYONESA FANACOA SACHET-951092- X2.755KG;1518,41
25178;MAYONESA HELLMANNS DOY PACK-5967-X1000CC;1512,56
11410;TOMATE PELADO ALCO LATA           X400GR;1512,08
90150;YOGUR ACTIVIA-253-FRUTILLA PACK  2X125GR;1509,45
20302;JABON TOC.LUX TENT.DE PERA-934229-X125GR;1508,09
17085;paÐal huggies classic hp gde-6613- x60un;1502,82
17454;PAÐAL HUGGIES CLASSIC MEDIANO-97440-X10U;1500,65
41503;SHAMPOO SUAVE COCO Y LECHE        X930ML;1495,33
41283;ACOND.SUAVE MANZANA VERDE         X930ML;1493,03
7974;JUGO YAP NARANJA-DURAZNO SOBRE -   X35GR;1493,00
20497;JABON POLVO DRIVE BRIS.TARDE MATIC X400G;1488,87
4087;YERBA NOB.GAUCHA SUAVE-50169-     X500GR;1485,55
17292;PAPEL HIG.SCOTT H/S ALOE 30MT-2864- X4UN;1481,09
11141;PURE TOMATE CANALE T/BRIK -       X520GR;1480,93
31856;ANTIT.DOVE DURAZNO ROLL-ON-943217- X50ML;1472,28
31007;CREMA DENTAL COLGATE TRIP.ACCION- X180GR;1466,76
27232;TRAPO PISO M.NARAN.GRIS REFOR.CLAS.  XUN;1461,27
31723;POLVO DESOD.VERITAS MASCULINO-902-X230GR;1460,88
1111;GALLETA BAGLEY MERENGADAS-9327-    X93GR;1457,19
95100;RAVIOLES VIA VESPUCCI 4 QUESOS -  X500GR;1456,31
8018;CARAMELO MISKY MASTICABLE -1781-  X800GR;1454,56
10125;COCTEL FRUTAS LA COLINA -4 FRUTAS-X820GR;1454,02
93409;SALAME T/MILAN BIERZO -150-          XKG;1452,61
4021;YERBA NOBLEZA GAUCHA AZUL-55736-    X1KG;1448,82
31530;DESOD.KEVIN PARK  -1644/5 -AEROS. X150ML;1448,77
41334;ACOND.PLUSBELLE BAMBU/ALOE C/AMINOB-X1LT;1447,67
25200;MAYONESA FANACOA DOY PACK-946008- X950GR;1447,43
7847;JUGO YAP NARANJA-MANDARINA -       X35GR;1447,04
18051;VELAS GOLONDRINA         -94339-   X64GR;1443,26
90041;YOGUR SANCOR-6403-BEB.FORT.FRUT     X1KG;1442,12
50102;INSECTICIDA RAID CASA JARDIN-245- X360CC;1441,80
9867;FIDEO LUCCHETTI MOÐOS-30911-      X500GR;1434,59
17535;paÐal huggies classic mp-chic.6603-x40un;1424,12
1075;OBLEA BAGLEY OPERA -9341-          X92GR;1423,85
17390;PAÐAL BABYSEC ULT.TRI/MEDIANO-4166-X36UN;1421,23
50061;APARATO RAID S/CABLE+4TAB.S/C-91-   XUND;1420,08
32080;LECHE LV CHELITA DESCREMADA         X1LT;1417,59
3082;SEMOLA LUCHETTI VITINA TRADIC.-   X250GR;1415,73
41373;SHAMPOO SEDAL SOS CERAMIDAS-      X300ML;1413,90
41208;SHAMPOO SUAVE FRUTOS ROJOS        X930ML;1411,60
6283;ATUN ACEITE DESMENUZADO BAHIA     X170GR;1410,24
6357;CORNED BEEF SWIFT                 X340GR;1407,91
28470;DULCE BATATA ORIETA C/CHOCO.      X500GR;1407,20
24100;HARINA PUREZA CON LEVADURA          X1KG;1400,74
90746;CREMA LECHE RAMOLAC               X200GR;1397,82
90186;MARGARINA MARGADAN PAN -631-      X200GR;1392,95
21130;PIMIENTA BLANCA MOLIDA LA CAMPIÐA-  X1KG;1392,66
20077;JABON TOC.PALMOLIVE NAT.YOG/FR.   X125GR;1387,82
29085;SOPA KNORR CASERA VEG.C/CAR.-197521- XUN;1381,12
28136;MERMELADA NOEL CIRUELA FCO-5168-  X454GR;1379,93
31526;DESOD.CRANDALL -709/1 -AEROSOL    X150ML;1375,19
13395;DETERGENTE MAGISTRAL BRISA MARINA X600ML;1373,31
41486;SHAMPOO PLUSBELLE GUAR/MORA C/AMINOB-X1L;1372,17
20487;JABON POLVO ALA REG.SOL MULTIACC. X800GR;1371,63
29217;CALDO WILDE GALLINA      -8208-     X2UN;1371,14
20071;JABON POLVO ARIEL BAJA ESPUMA-8452- X5KG;1365,78
90505;YOGUR MANFREY-60308-BEB.DURAZNO-    X1KG;1361,93
90190;LECHE CHOCOLATADA CINDOR-892-EX.SAB.X1LT;1361,56
21057;VAINILLIN VILLA RICA LIQUIDO-4902- X30CC;1358,85
16152;GELATINA GODET FRUTILLA-          X100GR;1357,12
31055;CREMA DENTAL COLGATE T.ACCION-1146-X90GR;1353,94
13294;LIMPIADOR CIF CREMA -201138-      X750GR;1348,38
29120;SOPA KNORR CREMA ESPARRAGOS          XUN;1346,93
17002;SERVILLETA SUSSEX ULT.(33X30)-5764-X70UN;1346,22
90504;YOGUR MANFREY-60307-BEB.BANANA      X1KG;1346,03
38048;aceituna verde vanoli d.pack      x150gr;1344,46
50001;ESPIRAL RAID - 438-                 X4UN;1343,27
25025;MOSTAZA FANACOA DOY PACK  -85402- X250GR;1341,11
11117;ARVEJA LA COLINA                  X350GR;1340,78
31184;CEPILLO DENTAL COLG.PREMIER ULT-  1X14UN;1329,15
5016;CACAO NESQUIK BOLSA -12179776-    X360GR;1329,00
32079;LECHE LV CHELITA ENTERA             X1LT;1328,69
24171;PREMEZCLA P/ÐOQUIS BLANCAFLOR     X400GR;1327,76
17146;TOALLA HUM.ESTRELLA-376-D.PACK     X70UN;1324,68
27024;ESPONJA DORADA DEA                  X1UN;1317,20
50012;INSECTICIDA RAID MAX AE.S/OLOR-089-X360C;1315,26
13440;DESINFECT.LYSOFORM BEBE AEROS     X360CC;1315,10
1326;GALLETA BAGLEY SONRISAS FRAMBUESA X118GR;1313,88
25100;MAYONESA MAYODAN BOLSA      -170- X2,9KG;1306,09
3083;SEMOLA LUCHETTI VITINA TRADIC.-   X500GR;1305,78
41052;DESOD.KEVIN SPIRIT AEROS.-6033/5- X150ML;1305,72
7540;JUGO INCA BC MANDARINA SOBRE-      X30GR;1299,63
27112;BROCHE PLASTICO BROOMY             X12UN;1299,51
6016;CABALLA NATURAL MARBELLA          X425GR;1296,84
7981;VINO VALDERROBLES VAR.EUR.BON/SYR-X700CC;1296,10
19004;ALCOHOL QUEMAR FRAU               X 1LT;1296,00
77140;VINO VIÐAS DE ALVEAR TINTO -111-  X700CC;1283,14
4154;TE LA VIRGINIA SAQ.PAPEL FILT.RAPI.X25UN;1281,76
4270;CAFE LA MORENITA SAQUITO-903187-   X20UN;1280,51
13752;DETERGENTE GIGANTE C/AL.VERA-1286-X750ML;1278,24
36036;QUESO RALLADO SANCOR REGGIANITO-  X120GR;1276,29
31294;CREMA HINDS ROSADA-61032-         X150GR;1271,72
16085;GELATINA EXQUISITA CEREZA -40975-  X70GR;1269,21
90313;VIDACOL-166-VAINILLA PACK         4X80GR;1267,75
21282;BICARBONATO LA CAMPIÐA             X20GR;1267,74
41892;ANTIT.REXONA HOMBRE AER.-924363-  X105GR;1267,20
20428;JABON POLVO ACE REGULAR BOLSA     X800GR;1267,10
90300;LECHE SANCOR BIO ENT.FRUT-6826-   4X95GR;1266,65
31105;shampoo sedal recon.estructural   x200ml;1266,49
9096;ARROZ MAGISTRAL LARGO FINO 00000- X500GR;1265,21
95101;RAVIOLES VIA VESPUCCI RICOTA -    X500GR;1264,41
15019;ENDULZANTE BARNY LIQ. -9203-     X500ML;1264,34
1851;GALLETA FRUTIGRAN AVENA/PASAS     X250GR;1260,07
11107;PURE TOMATE ARCOR TETRA B.-6614-  X520GR;1259,26
18017;PILA EVEREADY CHICAAA ED BLIS.-1215-X4UN;1256,92
7725;jugo tang nar/banana/frut.-918488- x25gr;1252,07
4284;YERBA CBSE SILUETA DR COR.NAR-3213-X500G;1251,49
17554;PAPEL HIG.ROLISU     30M      -0055-X4UN;1250,11
17345;PAÐAL BABYSEC CLASICO TANGA MEDIANO-X10U;1249,03
41183;ACOND.SUAVE FRUTOS ROJOS          X930ML;1240,00
20495;JABON POLVO ALA MATIC C/VIV.MULTIAC.X3KG;1233,16
25151;MOSTAZA SAVORA DOY  PACK  -98444-   X1KG;1232,78
77797;FERNET BRANCA                       X1LT;1232,78
17008;PAPEL HIG.HIGIENOL D.HOJA E/BLANCO  X4UN;1229,54
28025;MERMELADA DULCOR CIRUELA POTE     X500GR;1228,04
1812;GALLETA HOJALMAR TRIANGULITO RONDA X150G;1227,01
20097;JABON TOC.PALMOLIVE NAT.EX.HUM.   X125GR;1224,15
11003;SALSA ALCO PIZZA                  X350GR;1223,31
27561;LANA ACERO DEA ROLLITO    -701001- X45GR;1220,37
77028;JUGO YAP MIX FRUTAL SOBRE -        X35GR;1217,37
3101;POLENTA JOSE LOPEZ                  X1KG;1215,30
28027;MERMELADA DULCOR HIGO POTE   -804-X500GR;1211,69
17102;ROLLO COCINA ELITE DISEÐO 60 HOJA   X3UN;1211,17
29107;caldo knorr gallina rec.colec-0869- x2un;1209,39
16161;GELATINA GODET FRAMBUESA          X100GR;1207,31
77614;jugo ades durazno -136013-        x200cc;1202,77
13634;DESOD.AMB.POETT ESPIR.JOVEN-      X360CC;1200,71
29116;SOPA KNORR CREMA ZAPALLO -           XUN;1200,54
20493;JABON POLVO ALA MATIC FRESH MULTIAC.X3KG;1200,16
20516;JABON POLVO SKIP INT.PERF.RES.CORE  X4KG;1199,49
77126;JUGO YAP PERA SOBRE -              X35GR;1191,07
6019;CABALLA NATURAL JANDAIA-31814-    X425GR;1186,75
17712;PROTECTOR CAREFREE ORIGINAL S/P-   X20UN;1178,20
4611;YERBA AMANDA                        X1KG;1176,79
77445;AMARGO TERMA SERRANO PET-10060- X1.250CC;1172,10
27231;REJILLA MEDIA NARANJA L/COCHES-     X1UN;1170,58
10006;COCTEL FRUTAS INCA -              X820GR;1169,73
10004;ANANA CARACAS EN RODAJAS          X836GR;1167,91
28129;DULCE LECHE SANCOR-3119-POTE        X1KG;1163,47
4057;CAFE LA VIRGINIA INSTANTANEO       X50GR;1163,17
7503;JUGO ADES FRUTA TROPICAL -136014- X200CC;1162,06
4183;CAFE ARLISTAN SUAVE-93130-         X50GR;1161,17
13805;DETERGENTE GIGANTE ANTIB.MZNA-1289-X750M;1159,90
93012;SALAMIN P/FINO 66 DE RAFAELA-49-     XKG;1159,11
95107;TAPA P/PASCUALINA MADOMI -          X2UN;1158,53
27503;SECADOR DE GOMA DEA NEGRO 40CM.     X1UN;1157,30
90098;YOGUR GRAN COMPRA-340-VAIN.SACH.    X1KG;1157,18
11169;SALSA CICA PIZZA QUALIPACK-206741-X200GR;1156,59
4304;YERBA LA TRANQUERA -591-             X1K;1153,14
91277;QUESO DANBO CHELITA         -1982-   XKG;1150,79
90002;MANTECA RAMOLAC PAN               X200GR;1150,22
41366;CREMA HINDS ROSADA-61033-         X250GR;1147,96
28052;DULCE LECHE SANCOR REPOSTERO-3183-X400GR;1145,24
90745;CREMA LECHE RAMOLAC               X350GR;1144,44
31158;DESOD.AXE MARINE-932035-          X113GR;1142,94
90981;POSTRE DANETTE-530-CREMA AMERC.   2X95GR;1141,72
20540;JABON TOC.REXONA-30537-AQUA/FRESH 3X125G;1140,78
4184;CAFE ARLISTAN SUAVE-93132-        X100GR;1137,74
6284;ATUN NATURAL DESMENUZADO BAHIA    X170GR;1129,63
3017;LENTEJA JOSE LOPEZ                X500GR;1127,81
41048;SHAMPOO SEDAL LISO PERFECTO       X200ML;1127,71
6297;FILET ANCHOA PUGLISI ACEITE        X90GR;1122,55
29088;CALDO KNORR VERDURA REC.COLEC-0826- X2UN;1119,74
90431;POSTRE MANFRESQUITO VAINILLA      X120GR;1118,80
20486;JABON POLVO ALA MATIC SOL MULTIAC.X800GR;1116,63
