categoria|rubro|id|producto|titulo|detalle|sku|imagen|regla_1|precio_1|regla_2|precio_2|regla_3|precio_3
Fiambreria| Paleta|117|http://tatito.com.ar/producto/paleta-fela/|Paleta Fela Feteada x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|3|http://tatito.com.ar/wp-content/uploads/2020/01/PALETA-FELA.jpg|1|0.0|$|2.0||
Fiambreria| Paleta|117|http://tatito.com.ar/producto/paleta-figo/|Paleta Figo Feteada x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|15|http://tatito.com.ar/wp-content/uploads/2020/01/PALETA-FIGO.jpg|1|0.0|$|1.0||
Fiambreria| Panceta|202|http://tatito.com.ar/producto/panceta-salada-recreo-x-100-grs/|Panceta Ahumada Recreo x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|98|http://tatito.com.ar/wp-content/uploads/2020/05/panceta-salada-recreo.jpg|1|0.0|$|7.0||
Fiambreria| Pategras|199|http://tatito.com.ar/producto/pategras-ls/|Queso Pategras La Serenisima x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|49|http://tatito.com.ar/wp-content/uploads/2019/11/queso-pategras-la-serenisima.jpg|1 - 19|79.0|20+|70.99||
Fiambreria| Por Salut|196|http://tatito.com.ar/producto/magro-noal/|Queso Magro Noal x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|38|http://tatito.com.ar/wp-content/uploads/2020/01/MAGRO-NOAL.jpg|1 - 19|39.8|20+|33.46||
Fiambreria| Por Salut|196|http://tatito.com.ar/producto/por-salut-noal/|Queso Por Salut Noal x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|108|http://tatito.com.ar/wp-content/uploads/2020/01/POR-SALUT-NOAL.jpg|1 - 19|39.0|20+|31.85||
Fiambreria| Ricota|221|http://tatito.com.ar/producto/ricota-san-lucio/|Ricota San Lucio x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|131|http://tatito.com.ar/wp-content/uploads/2019/11/RICOTA-SAN-LUCIO.jpg|1 - 19|12.0|20+|10.0||
Fiambreria| Romanito / Sardo|179|http://tatito.com.ar/producto/romanito-santa-maria-1-5/|Romanito Santa Maria x 100 grs.|El peso del corte puede variar al solicitado. La variación puede ser aproximadamente de 100 gramos./Ejemplo: cantidad 5 equivale a 500 grs.|121|http://tatito.com.ar/wp-content/uploads/2019/11/romanito-santa-maria.jpg|1 - 19|69.0|20+|56.49||
Fiambreria| Roquefort|185|http://tatito.com.ar/producto/jamon-coc-paladini/|Queso Azul Estancia de Oro x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|10|http://tatito.com.ar/wp-content/uploads/2019/11/queso-azul-estancia-de-oro.jpg|1 - 19|50.0|20+|40.0||
Fiambreria| Salame|114|http://tatito.com.ar/producto/salame-goggi-cal-80/|Salame Goggi Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|513|http://tatito.com.ar/wp-content/uploads/2019/11/SALAME-GOGGI-CAL-80.jpg|1|0.0|$|3.0||
