categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
Limpieza	Desodorante Hombre/mujer	234	http://tatito.com.ar/producto/desodorante-rexona-clinical-men-48-grs/	Desodorante Rexona - Clinical Men 	48 gr		C21407O000	http://tatito.com.ar/wp-content/uploads/2020/07/rexona-clinical-men-48grjpg	1-2	289.99	3+	263.99		
Limpieza	Desodorante Hombre/mujer	234	http://tatito.com.ar/producto/desodorante-rexona-forest-150-ml/	Desodorante Rexona - Forest 	150 ml		C10999O7869	http://tatito.com.ar/wp-content/uploads/2020/07/rexona-forest-men-150mljpg	1-2	153.99	3+	134.99		
Limpieza	Desodorante Hombre/mujer	234	http://tatito.com.ar/producto/desodorante-rexona-odorono-60-grs/	Desodorante Rexona - Odorono 	60 gr		C6806O6136	http://tatito.com.ar/wp-content/uploads/2020/07/Desodorante-rexona-odorono-60grs.jpg	1-2	95.29	3+	82.99		
Limpieza	Detergente	201	http://tatito.com.ar/producto/deter-camellito-ropa-fina-120ml/	Detergente Camellito - Ropa Fina 	120 ml		2384	http://tatito.com.ar/wp-content/uploads/2019/11/camellito-ropa-fina-120mljpg	1-2	36.67	3+	31.33		
Limpieza	Detergente	201	http://tatito.com.ar/producto/detergente-magistral-x-300-cc/	Detergente Magistral	300 cc		1721	http://tatito.com.ar/wp-content/uploads/2020/07/detergente-magistral-300.jpg	1-2	75	3+	64.44		
Limpieza	Detergente	201	http://tatito.com.ar/producto/detergente-magistral-x-500-cc/	Detergente Magistral 	500 cc		101384	http://tatito.com.ar/wp-content/uploads/2020/07/detergente-magistral-x500.jpg	1-2	122	3+	105.29		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-bat-dulcor-cajon-5kg/	Dulce De Batata Dulcor	5 kg		7146	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-DULCOR-CAJON-5Kgrjpg	1-2	500	3+	500		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-bat-riojanita-cajon-5k-ch/	"Dulce De Batata La Riojanita, Chocolate"	5 kg		101641	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-RIOJANITA-CAJON-5K-CH.jpg	1-2	439.99	3+	428.99		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-bat-riojanita-cajon-5k-vai/	"Dulce De Batata La Riojanita, Vainilla"	5 kg		101640	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-RIOJANITA-CAJON-5K-VA.jpg	1-2	427	3+	415.98		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-bat-riojanita-vain-lata/	Dulce De Batata Riojanita Vainilla Lata	5 kg		285824	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-BAT-RIOJANITA-VAIN-LATA.jpg	1-2	620	3+	585		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-leche-cerros-tuc-1-kg/	Dulce De Leche Cerros Tucumanos 	1 kg		104679	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-LECHE-CERROS-TUC-1-Kgrjpg	1-2	218	3+	189.01		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-400-grs/	Dulce De Leche Clasico Manfrey	400 gr		5052	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-400.jpg	1-2	97	3+	85.76		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-400-grs/	Dulce De Leche Clasico Manfrey	400 gr		5052	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-400.jpg	1-2	97	3+	85.76		
Desayuno	Dulce de Leche	172	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-400-grs/	Dulce De Leche Clasico Manfrey	400 gr		5052	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-400.jpg	1-2	97	3+	85.76		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-400-grs/	Dulce De Leche Clasico Manfrey	400 gr		5052	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-400.jpg	1-2	97	3+	85.76		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/	Dulce De Leche Clasico Manfrey 	250 gr		5044	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg	1-2	66	3+	55.53		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/	Dulce De Leche Clasico Manfrey 	250 gr		5044	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg	1-2	66	3+	55.53		
Desayuno	Dulce de Leche	172	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/	Dulce De Leche Clasico Manfrey 	250 gr		5044	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg	1-2	66	3+	55.53		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/	Dulce De Leche Clasico Manfrey 	250 gr		5044	http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg	1-2	66	3+	55.53		
Desayuno	Dulce de Leche	172	http://tatito.com.ar/producto/d-de-leche-pau-x400gr/	Dulce De Leche La Paulina Clas.  	400 gr		104137	http://tatito.com.ar/wp-content/uploads/2019/11/dulce-de-leche-paulina-400-clasico.jpg	1-2	121.6	3+	111.18		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-de-leche-repostero-manfrey-x-400-grs/	Dulce De Leche Repostero Manfrey	400 gr		7099	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg	1-2	108	3+	94.25		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/dulce-de-leche-repostero-manfrey-x-400-grs/	Dulce De Leche Repostero Manfrey	400 gr		7099	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg	1-2	108	3+	94.25		
Desayuno	Dulce de Leche	172	http://tatito.com.ar/producto/dulce-de-leche-repostero-manfrey-x-400-grs/	Dulce De Leche Repostero Manfrey	400 gr		7099	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg	1-2	108	3+	94.25		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-de-leche-repostero-manfrey-x-400-grs/	Dulce De Leche Repostero Manfrey	400 gr		7099	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg	1-2	108	3+	94.25		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-leche-santa-maria-250gr/	Dulce De Leche Santa Maria 	250 gr		5042	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-LECHE-SANTA-mARIA-250GR.jpg	1-2	60	3+	49.09		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-leche-santa-maria-400gr/	Dulce De Leche Santa Maria 	400 gr		1206	http://tatito.com.ar/wp-content/uploads/2020/01/DULCE-LECHE-SANTA-mARIA-400GR.jpg	1-2	92	3+	79		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/dulce-de-leche-tradicional-tremblay-x-250-grs/	Dulce De Leche Tradicional Tremblay 	250 gr		7101	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-tremblay-250.jpg	1-2	56.5	3+	49		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/dulce-de-leche-tradicional-tremblay-x-250-grs/	Dulce De Leche Tradicional Tremblay 	250 gr		7101	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-tremblay-250.jpg	1-2	56.5	3+	49		
Desayuno	Dulce de Leche	172	http://tatito.com.ar/producto/dulce-de-leche-tradicional-tremblay-x-250-grs/	Dulce De Leche Tradicional Tremblay 	250 gr		7101	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-tremblay-250.jpg	1-2	56.5	3+	49		
Lacteos	Dulce de Leche	157	http://tatito.com.ar/producto/dulce-de-leche-tradicional-tremblay-x-250-grs/	Dulce De Leche Tradicional Tremblay 	250 gr		7101	http://tatito.com.ar/wp-content/uploads/2020/07/Dulce-de-leche-tremblay-250.jpg	1-2	56.5	3+	49		
