categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
AlmacÈn	Varios	147	http://tatito.com.ar/producto/galletas-all-rice-arroz-integral-limon-x-100-grs/	Galletas De Arroz All Rice Limon 	100 gr	Galletas de Arroz Integral.-	1053414	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg	1-2	63	3+	54.17		
AlmacÈn	Gall. Dulces y Saladas	137	http://tatito.com.ar/producto/galletas-all-rice-naranja-x-100-grs/	Galletas De Arroz All Rice Naranja 	100 gr	Galletas de Arroz Integral.-	1053412	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg	1-2	63	3+	54.17		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/galletas-all-rice-naranja-x-100-grs/	Galletas De Arroz All Rice Naranja 	100 gr	Galletas de Arroz Integral.-	1053412	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg	1-2	63	3+	54.17		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/galletas-all-rice-naranja-x-100-grs/	Galletas De Arroz All Rice Naranja 	100 gr	Galletas de Arroz Integral.-	1053412	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg	1-2	63	3+	54.17		
AlmacÈn	Gall. Dulces y Saladas	137	http://tatito.com.ar/producto/galletas-all-rice-sin-sal-x-100-grs/	Galletas De Arroz All Rice Sin Sal 	100 gr	Galletas de Arroz Integral.-	1053411	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg	1-2	63	3+	54.17		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/galletas-all-rice-sin-sal-x-100-grs/	Galletas De Arroz All Rice Sin Sal 	100 gr	Galletas de Arroz Integral.-	1053411	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg	1-2	63	3+	54.17		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/galletas-all-rice-sin-sal-x-100-grs/	Galletas De Arroz All Rice Sin Sal 	100 gr	Galletas de Arroz Integral.-	1053411	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg	1-2	63	3+	54.17		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-divercion-surt-x400-arcor/	Galletas Diversion Surtidas	400 gr		5421	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-DIVERCION-SURT-X400-ARCOR.jpg	1-2	84.6	3+	74.03		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/galletas-frutigran-avena-y-frutos-rojos-250-gr/	Galletas Frutigran Avena Y Frutos Rojos 	250 gr		5534	http://tatito.com.ar/wp-content/uploads/2020/07/frutigran-avenayfr-250.jpg	1-2	85	3+	73.45		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/galletas-frutigran-chips-de-chocolate-250-gr/	Galletas Frutigran Chips De Chocolate 	250 gr		55342	http://tatito.com.ar/wp-content/uploads/2020/07/frutigran-chips-250.jpg	1-2	85	3+	73.45		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/galletas-frutigran-tropical-250-gr/	Galletas Frutigran Tropical 	250 gr		55341	http://tatito.com.ar/wp-content/uploads/2020/07/frutigran-tropical-250.jpg	1-2	85	3+	73.45		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-gaona-recreo-x-350g/	Galletas Gaona Recreo Surtida	270 gr		101662	http://tatito.com.ar/wp-content/uploads/2019/11/galletas-recreo-gaona-270.jpg	1-2	52	3+	45.43		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-hogarenas-salvado-200gr/	Galletas Hogarenas Salvado 	200 gr		5359	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-HOGARENAS-SALVADO-200GR.jpg	1-2	55	3+	47.73		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-mana-145gr/	Galletas Mana	145 gr		5407	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-mANA-145GR.jpg	1-2	41	3+	34.96		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-mana-rell-165gr/	Galletas Mana Rell 	165 gr		5484	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-mANA-RELL-165GR.jpg	1-2	48.5	3+	41.85		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-mauri-salvado-400gr/	Galletas Mauri Salvado 	400 gr		5381	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-mAURI-SALVADO-400GR.jpg	1-2	94	3+	79.35		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-mauri-sin-sal-400gr/	Galletas Mauri Sin Sal 	400 gr		5380	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-mAURI-SIN-SAL-400GR.jpg	1-2	94	3+	79.3		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-merengada-93gr/	Galletas Merengada	93 gr		5399	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-mERENGADA-93GR.jpg	1-2	48	3+	41		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-opera-55gr/	Galletas Opera 	55 gr		5481	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-OPERA-55GR.jpg	1-2	37	3+	31.73		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-pindy-x3-und/	Galletas Pindy  	3 un		101285	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-PINDY-X3-UND.jpg	1-2	45	3+	38.9		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-portenitas-125gr/	Galletas PorteÒitas 	125 gr		5405	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-PORTENITAS-125GR.jpg	1-2	49	3+	42.25		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-sonrisa-3-118gr/	Galletas Sonrisa 	3 x 118 gr		5356	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-SONRISA-3-118GR.jpg	1-2	48	3+	41		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-bagley-surt-400gr/	Galletas Surtido Bagley 	400 gr		5439	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-BAGLEY-SURT-400GR.jpg	1-2	89	3+	78.13		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-traviata-3-x101-gr/	Galletas Traviata  	3 x 101 gr		268255	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-TRAVIATA-3-X101-GR.jpg	1-2	79	3+	68.01		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-turimar-palmer-200-grs/	Galletas Turimar Palmeritas 	200 gr		104348	http://tatito.com.ar/wp-content/uploads/2019/11/GALL-TURImAR-PALmER-200-GRS.png	1-2	53	3+	45.68		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/grasa-vacuna-kamote-x-1-kg/	Grasa Vacuna Kamote 	1 kg		110942	http://tatito.com.ar/wp-content/uploads/2020/05/grasa-kamote-1kgrjpg	1-2	100	3+	79		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/grasa-vacuna-kamote-x-500-gr/	Grasa Vacuna Kamote 	500 gr		110941	http://tatito.com.ar/wp-content/uploads/2020/05/grasa-kamote-500grjpg	1-2	50	3+	42		
Frescos y Congelados	Hamburguesas	138	http://tatito.com.ar/producto/hamb-paladini-2un/	Hamburguesa Paladini 	2 un		6473	http://tatito.com.ar/wp-content/uploads/2020/01/HAmB-PALADINI-2unjpg	1-2	103.75	3+	88.37		
Frescos y Congelados	Hamburguesas	138	http://tatito.com.ar/producto/hamb-swift-x-2un/	Hamburguesa Swift Doble 	2 un		5172	http://tatito.com.ar/wp-content/uploads/2020/01/HAmB-SWIFT-X-2unjpg	1-2	53	3+	43.72		
Frescos y Congelados	Hamburguesas	138	http://tatito.com.ar/producto/hamb-swift-xl-x250g/	Hamburguesa Swift Xl 	250 gr		104109	http://tatito.com.ar/wp-content/uploads/2020/01/HAmB-SWIFT-XL-X250grjpg	1-2	144	3+	133.33		
Frescos y Congelados	Hamburguesas	138	http://tatito.com.ar/producto/hamb-iacono-2-x-69gr/	Hamburguesas Iacono 	269 gr		102682	http://tatito.com.ar/wp-content/uploads/2020/01/HAmB-IACONO-2-X-69GR.jpg	1-2	36	3+	31.2		
AlmacÈn	Harinas	97	http://tatito.com.ar/producto/har-celestial-000-x1kg-s-iva/	Harina Celestial 000 	1 kg		101579	http://tatito.com.ar/wp-content/uploads/2020/01/HAR-CELESTIAL-000-X1Kgrjpg	1-2	45	3+	36		
AlmacÈn	Harinas	97	http://tatito.com.ar/producto/har-celestial-0000-x-kg-s-iva/	Harina Celestial 0000	1 KG		101816	http://tatito.com.ar/wp-content/uploads/2020/01/HAR-CELESTIAL-0000-X-Kgrjpg	1-2	60	3+	52		
AlmacÈn	Harinas	97	http://tatito.com.ar/producto/har-gra-real-000-1kg/	Harina Graciela  Real 000 	1 kg		4235	http://tatito.com.ar/wp-content/uploads/2020/01/HAR-GRA-REAL-000-1Kgrjpg	1-2	44	3+	37.35		
AlmacÈn	Harinas	97	http://tatito.com.ar/producto/harina-graciela-real-0000-1-kg/	Harina Graciela  Real 0000 	1 kg		4234	http://tatito.com.ar/wp-content/uploads/2020/06/harina-graciela-real-0000.jpg	1-2	53	3+	45.97		
AlmacÈn	Harinas	97	http://tatito.com.ar/producto/har-reina-ana-000-x1-kg-s-iva/	Harina Reina Ana 000 	1 kg		101906	http://tatito.com.ar/wp-content/uploads/2019/11/HAR-REINA-ANA-000.jpg	1-2	39	3+	33.8		
Frescos y Congelados	masa para Tacos	166	http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/	Hummus Kamar Morron 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Tapas	160	http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/	Hummus Kamar Morron 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Untables	170	http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/	Hummus Kamar Morron 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	masa para Tacos	166	http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/	Hummus Kamar Olivas Negras 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Tapas	160	http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/	Hummus Kamar Olivas Negras 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Untables	170	http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/	Hummus Kamar Olivas Negras 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	masa para Tacos	166	http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/	Hummus Kamar Sesamo Y Ajo 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Tapas	160	http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/	Hummus Kamar Sesamo Y Ajo 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg	1-2	120.19	3+	105.6		
Frescos y Congelados	Untables	170	http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/	Hummus Kamar Sesamo Y Ajo 	250 gr			http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg	1-2	120.19	3+	105.6		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ace-liquido-doypack-x-400-ml/	Jabon Ace Liquido Doypack	400 ml		104082	http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ace-doypack-400.jpg	1-2	68	3+	57.34		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ace-liquido-doypack-x-800-ml/	Jabon Ace Liquido Doypack	800 ml		104081	http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ace-doypack-800.jpg	1-2	155	3+	132.26		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ala-400gr/	Jabon Ala Matic 	400 gr		2237	http://tatito.com.ar/wp-content/uploads/2020/01/JABON-ALA-400GR.jpg	1-2	70	3+	60.05		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ala-|800gr/	Jabon Ala Matic 	800 gr		101236	http://tatito.com.ar/wp-content/uploads/2020/01/JABON-ALA-|800GR.jpg	1-2	120	3+	99		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ala-pan-200gr/	Jabon Ala Pan 	200 gr		2287	http://tatito.com.ar/wp-content/uploads/2020/01/JABON-ALA-PAN-200GR.jpg	1-2	49	3+	41.46		
Limpieza	Shampoo	191	http://tatito.com.ar/producto/jabon-argentino-toc-3-80gr/	Jabon Argentino Tocador 	380 gr		2278	http://tatito.com.ar/wp-content/uploads/2019/11/JABON-ARGENTINO-TOC-3-80GR.jpg	1-2	56	3+	45		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-ariel-liquido-doypack-x-400-ml/	Jabon Ariel Liquido Doypack	400 ml		104080	http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ariel-400-mljpg	1-2	69.9	3+	59.46		
Limpieza	Shampoo	191	http://tatito.com.ar/producto/jabon-dove-x-90-grs/	Jabon Dove	90 gr		191929	http://tatito.com.ar/wp-content/uploads/2020/07/jabon-dove-90.jpg	1-2	62	3+	52		
Limpieza	Shampoo	191	http://tatito.com.ar/producto/jabon-drive-400gr/	Jabon Drive 	400 gr		2250	http://tatito.com.ar/wp-content/uploads/2019/11/JABON-DRIVE-400GR.jpg	1-2	55	3+	46.67		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-drive-|800gr/	Jabon Drive 	800 gr		100785	http://tatito.com.ar/wp-content/uploads/2020/01/JABON-DRIVE-|800GR.jpg	1-2	98	3+	84.5		
Limpieza	Shampoo	191	http://tatito.com.ar/producto/jabon-lux-125gr/	Jabon Lux 	125 gr		2299	http://tatito.com.ar/wp-content/uploads/2019/11/JABON-LUX-125.jpg	1-2	43.5	3+	37.31		
Limpieza	Limpiador de Ropa	189	http://tatito.com.ar/producto/jabon-zorro-400gr/	Jabon Zorro Plus Matic  	400 gr		2210	http://tatito.com.ar/wp-content/uploads/2019/11/jabon-zorro-plus-matic-400-gr.jpg	1-2	53	3+	45.5		
Fiambreria	JamÛn	115	http://tatito.com.ar/producto/jamon-coc-goggi-c-cuero/	Jamon Cocido Goggi Con Cuero Feteado 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-/	146	http://tatito.com.ar/wp-content/uploads/2020/01/JAmON-COCIDO-GOGGI-CON-CUERO.jpg	1-2	45.5	3+	359.81		
Fiambreria	JamÛn	115	http://tatito.com.ar/producto/jamon-coc-goggi-2/	Jamon Cocido Goggi Feteado 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	959	http://tatito.com.ar/wp-content/uploads/2020/01/JAmON-COC-GOGGI.jpg	1-2	0	$	4		
Fiambreria	JamÛn	115	http://tatito.com.ar/producto/jamon-cocido-lario/	Jamon Cocido Lario Feteado 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	42	http://tatito.com.ar/wp-content/uploads/2020/01/FIAmBRE-COC-LARIO-COD-108.jpg	1-2	0	$	5		
Fiambreria	JamÛn	115	http://tatito.com.ar/producto/jamon-cocido-paladini/	Jamon Cocido Paladini Feteado 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	124	http://tatito.com.ar/wp-content/uploads/2020/01/JAmON-COC-PALADINI.jpg	1-2	0	$	5		
Fiambreria	Jamon Crudo	198	http://tatito.com.ar/producto/jamon-crudo-goggi-medio-listo/	Jamon Crudo Goggi Feteado 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	80	http://tatito.com.ar/wp-content/uploads/2019/11/jamon-crudo-goggi-D_NQ_NP_882252-mLA32138258660_092019-F.jpg	1-2	0	$	6		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-ades-1 lt/	Jugo Ades Manzana 	1 lt		101338	http://tatito.com.ar/wp-content/uploads/2020/04/ades-1 lt.jpg	1-2	81.71	3+	71.5		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-ades-200cc/	Jugo Ades Manzana 	200 cc		100636	http://tatito.com.ar/wp-content/uploads/2020/01/JUGO-ADES-200CC.jpg	1-2	36	3+	30.7		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-arcor-14-25gr/	Jugo Arcor 	25 un		4188	http://tatito.com.ar/wp-content/uploads/2020/01/JUGO-ARCOR-14-25GR.jpg	1-2	12.5	3+	10.57		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-baggio-200cc/	Jugo Baggio Durazno 	200 cc		102492	http://tatito.com.ar/wp-content/uploads/2019/11/jugo-baggio-durazno-200-cc.jpg	1-2	18	3+	15.84		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-baggio-fresh-manzana-deliciosa-1-5- lt/	Jugo Baggio Fresh Manzana Deliciosa 	1.5 lt		42172	http://tatito.com.ar/wp-content/uploads/2019/11/jugo-baggio-fresh-manzana.jpg	1-2	46	3+	39.97		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-baggio-x-125/	Jugo Baggio Mu Ltifruta 	125 cc		4223	http://tatito.com.ar/wp-content/uploads/2019/11/jugo-baggio-mu ltifruta-125-cc.jpg	1-2	13.59	3+	11.83		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-bc-sobres-1l/	Jugo Bc Sobres 	1 lt		4127	http://tatito.com.ar/wp-content/uploads/2019/11/jugos-bc-sobres.jpg	1-2	14	3+	12.12		
Bebidas	Jugos	66	http://tatito.com.ar/producto/jugo-dodi-25g-rinde-2 lt/	Jugo Dodi 	25 gr		101085	http://tatito.com.ar/wp-content/uploads/2020/01/JUGO-DODI-25G-RINDE-2 lt.jpg	1-2	12	3+	9.75		
Aderezos	Ketchup	73	http://tatito.com.ar/producto/ketchup-danica-220gr/	Ketchup Danica 	220 gr		3521	http://tatito.com.ar/wp-content/uploads/2020/01/KETCHUP-DANICA-220GR.jpg	1-2	52	3+	43.71		
Condimentos	Condimentos	122	http://tatito.com.ar/producto/laurel-en-hojas-alicante10g/	Laurel En Hojas Alicante 	10 gr		103237	http://tatito.com.ar/wp-content/uploads/2020/01/LAUREL-EN-HOJAS-ALICANTE10grjpg	1-2	65	3+	56.55		
Limpieza	Lavandina	190	http://tatito.com.ar/producto/lavandina-x5-1 lt/	Lavandina X5 	1 lt		2395	http://tatito.com.ar/wp-content/uploads/2020/05/LAVANDINA-X5-1 lt.jpg	1-2	47	3+	39.94		
Limpieza	Lavandina	190	http://tatito.com.ar/producto/lavandina-x5-4 lt/	Lavandina X5 	4 lt		2397	http://tatito.com.ar/wp-content/uploads/2020/04/LAVANDINA-X5-4 lt.jpg	1-2	205	3+	175.83		
Limpieza	Lavavajillas	126	http://tatito.com.ar/producto/lavav-ala-750ml/	Lavavajillas Ala  	750 ml		1380	http://tatito.com.ar/wp-content/uploads/2020/01/LAVAV-ALA-750mljpg	1-2	63.5	3+	52.6		
Lacteos	Leche Condensada	227	http://tatito.com.ar/producto/leche-condensada-nestle-395g/	Leche Condensada Nestle 	395 gr		104740	http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-CONDENSADA-NESTLE-395grjpg	1-2	143.32	3+	132.7		
Lacteos	Leche en Polvo	187	http://tatito.com.ar/producto/leche-descremada-en-polvo-purisima-x-800-grs/	Leche Descremada En Polvo Purisima	800 gr		33871	http://tatito.com.ar/wp-content/uploads/2020/07/leche-en-polvo-purisima-descremada-800.jpg	1-2	395	11-Mar	340.69	12+	327.6
Lacteos	Leche	81	http://tatito.com.ar/producto/leche-descremada-larga-vida-la-suipachense-x-1- lt/	Leche Descremada Larga Vida La Suipachense	1 lt		1115141	http://tatito.com.ar/wp-content/uploads/2020/05/leche-la-suipachense-lv-descremada.jpg	1-2	76.5	3+	66.3		
Lacteos	Leche	81	http://tatito.com.ar/producto/leche-larga-vida-entera-la-suipachense-1- lt/	Leche Entera Larga Vida La Suipachense	1 lt		111514	http://tatito.com.ar/wp-content/uploads/2020/05/leche-la-suipachense-entera-lv.jpg	1-2	76.5	3+	66.3		
Lacteos	Leche	81	http://tatito.com.ar/producto/leche-ilolay-lv-ent-1 lt-s-iva/	Leche Ilolay Larga Vida 'ì Entera 	1 lt		4850	http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-ILOLAY-LV-ENTERA-X-1L.jpg	1-2	73.9	3+	59.9		
Lacteos	Leche	81	http://tatito.com.ar/producto/leche-ilolay-lv-d-x-1ls-iva/	Leche Ilolay Larga Vida Descremada	1 lt		103349	http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-ILOLAY-LV-DDESCREmADA-X-1LS.jpg	1-2	73.9	3+	59.9		
Lacteos	Leche en Polvo	187	http://tatito.com.ar/producto/leche-nido-fort-t-ama-|800gr/	Leche Nido Fort Tapa Amarilla 	800 gr		100864	http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-NIDO-CON-PROT-T-AmARILLA-|800GR.jpg	1-2	485	3+	436.99		
AlmacÈn	Legumbres	94	http://tatito.com.ar/producto/lenteja-jose-lopez-500gr/	Lenteja Jose Lopez 	500 gr		5694	http://tatito.com.ar/wp-content/uploads/2019/11/lentejas-jose-lopez-600x773.jpg	1-2	96	3+	83.26		
Frescos y Congelados	Levaduras	216	http://tatito.com.ar/producto/levadura-duquesa-500gr/	Levadura Duquesa 	500 gr		95	http://tatito.com.ar/wp-content/uploads/2019/11/levadura-duquesa.jpg	1-2	118	3+	107		
Frescos y Congelados	Levaduras	216	http://tatito.com.ar/producto/levadura-golondrina-x-500-grs/	Levadura Golondrina 	500 gr		110611	http://tatito.com.ar/wp-content/uploads/2020/05/levadura-golondrina-500-grs..jpg	1-2	105	3+	97.35		
Limpieza	Desodorante de piso	214	http://tatito.com.ar/producto/limpiador-glade-liquido-x-900-ml/	Limpiador Glade Liquido	900 ml		102641	http://tatito.com.ar/wp-content/uploads/2020/06/limpiador-glade-900-mljpg	1-2	62	3+	52.64		
Limpieza	Desodorante de piso	214	http://tatito.com.ar/producto/limp-sedilee-4-5- lt/	Limpiador Sedilee 	4.5 lt		104637	http://tatito.com.ar/wp-content/uploads/2020/01/LImP-SEDILEE-4.5- lt.jpg	1-2	141.86	3+	141.86		
Limpieza	Varios	206	http://tatito.com.ar/producto/lustra-muebles-blem-360-cc/	Lustra Muebles Blem 	360 cc		100658	http://tatito.com.ar/wp-content/uploads/2020/07/lustra-muebles-blem-360.jpg	1-2	167	3+	143		
AlmacÈn	CafÈ	161	http://tatito.com.ar/producto/ma lta-el-pocillo-x-125-gr/	Ma Lta El Pocillo	125 gr		110969	http://tatito.com.ar/wp-content/uploads/2020/05/mA ltA-ELPOCILLO-125-POCUH.jpg	1-2	125	3+	105.63		
AlmacÈn	CafÈ	161	http://tatito.com.ar/producto/ma lta-el-pocillo-x-170-gr/	Ma Lta El Pocillo	170 gr		110968	http://tatito.com.ar/wp-content/uploads/2020/05/mA ltA-EL-POCILLO-170grjpg	1-2	210	3+	174.99		
AlmacÈn	Legumbres	94	http://tatito.com.ar/producto/maiz-jose-lopez-bco-500gr/	Maiz Blanco Jose Lopez 	500 gr		5689	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	29.91	3+	25		
AlmacÈn	Legumbres	94	http://tatito.com.ar/producto/maiz-la-espanola-blanco-500gr/	Maiz Blanco La Espanola 	500 gr		5731	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	37.5	3+	32.21		
AlmacÈn	Legumbres	94	http://tatito.com.ar/producto/maiz-jose-lopez-pisingallo-500gr/	Maiz Jose Lopez Pisingallo 	500 gr		5696	http://tatito.com.ar/wp-content/uploads/2019/11/maiz-pisingallo-jose-lopez.jpg	1-2	38	3+	32.24		
Snacks	Otros	235	http://tatito.com.ar/producto/mani-tostado-salado-semix-120-grs/	Mani Tostado Salado Semix 	120 gr		114338	http://tatito.com.ar/wp-content/uploads/2020/07/mani-tostado-salado-semix-120.jpg	1-2	35	3+	29.83		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/manteca-s-y-s-x-200-grs/	Manteca S Y S	200 gr		102448	http://tatito.com.ar/wp-content/uploads/2020/07/manteca-sys-200gr.jpg	1-2	99	3+	90		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/manteca-s-y-s/	Manteca S Y S 	100 gr		102315	http://tatito.com.ar/wp-content/uploads/2020/05/manteca-sys-100gr.jpg	1-2	50	3+	39		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/manteca-tonadita-100gr/	Manteca Tonadita 	100 gr		5762	http://tatito.com.ar/wp-content/uploads/2020/01/mANTECA-TONADITA-100GR.jpg	1-2	54	3+	46.8		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/marg-danica-d-200gr/	Margarina Danica Dorada 	200 gr		100537	http://tatito.com.ar/wp-content/uploads/2020/01/mARG-DANICA-D-200GR.jpg	1-2	68	3+	58.13		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/margarina-danica-dorada-500-grs/	Margarina Danica Dorada 	500 gr		100486	http://tatito.com.ar/wp-content/uploads/2020/05/margarina-danica-dorada-500.jpg	1-2	160	3+	137.28		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/marg-margadan-200gr/	Margarina Margadan 	200 gr		5750	http://tatito.com.ar/wp-content/uploads/2020/01/mARG-mARGADAN-200GR.jpg	1-2	52.5	3+	46.5		
Lacteos	mantecas y margarinas	140	http://tatito.com.ar/producto/marg-margadan-500gr/	Margarina Margadan 	500 gr		5755	http://tatito.com.ar/wp-content/uploads/2020/01/mARG-mARGADAN-500GR.jpg	1-2	128	3+	110.28		
Frescos y Congelados	masa para Tacos	166	http://tatito.com.ar/producto/tacos-pandino/	Masa Para Tacos Pandino			103492	http://tatito.com.ar/wp-content/uploads/2020/01/TACOS-PANDINO.jpg	1-2	60	3+	55		
AlmacÈn	mate	143	http://tatito.com.ar/producto/yerba-saq-broche-o-x-25-s-iva/	Mate Cocido Broche De Oro	25 un		101310	http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-SAQ-BROCHE-O-X-25.jpg	1-2	59.04	3+	47.97		
AlmacÈn	mate	143	http://tatito.com.ar/producto/yerba-saq-cachamate-x-25u-s-iva/	Mate Cocido En Saquitos Cachamate	25 un		7697	http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-SAQ-CACHAmATE-X-25U.jpg	1-2	53.84	3+	43.75		
