"";"nombre";"marca";"precio";"pagina";"imagen";"departamento";"categoria";"subcategoria"
"34";"Aceite De Girasol Y Oliva Copisi Scelto 900 Ml";"COPISI";169,3;"aceite-copisi-de-oliva-x900cc/p";"180303";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"35";"Aceite De Oliva Zuelo 1 L";"ZUELO";912;"aceite-de-oliva-zuelo-1l/p";"578715";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"36";"Aceite De Oliva Jumbo Extra Virgen 500 Ml";"JUMBO MP";329;"aceite-jumbo-de-oliva-x500cc-2/p";"177584";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"37";"Aceto Balsámico Cocinero 500 Ml";"DI MODENA";198;"aceto-balsamico-di-modena-x-500-mlts/p";"468655";"Almacén";"Aceites y Vinagres";"Acetos"
"38";"Aceto Balsámico Casalta Ahumado 400 Ml";"CASALTA";232;"aceto-clasico-ahumado-casalta-x-400ml/p";"567520";"Almacén";"Aceites y Vinagres";"Acetos"
"39";"Aceto Balsámico Angelo 500 Ml";"MAZZETTI";269;"aceto-balsamico-angelo/p";"442992";"Almacén";"Aceites y Vinagres";"Acetos"
"40";"Aceto Balsámico Dos Anclas 250 Ml";"DOS ANCLAS";135;"aceto-balsamico-dos-anclas-x-250-cc/p";"180254";"Almacén";"Aceites y Vinagres";"Acetos"
"41";"Aceto Balsamico Monterrey 250 Ml";"MONTERREY";77;"aceto-balsamico-monterrey-250-ml/p";"570098";"Almacén";"Aceites y Vinagres";"Acetos"
"42";"Aceto Balsamico Molto 500ml";"MOLTO";126,5;"aceto-balsamico-molto-500ml/p";"555893";"Almacén";"Aceites y Vinagres";"Acetos"
"43";"Aceto Balsamico Cocinero Reduccion";"COCINERO";248;"aceto-balsamico-cocinero-reduccion-2/p";"528800";"Almacén";"Aceites y Vinagres";"Acetos"
"44";"Aceto Balsámico Altavia 250 Ml";"ALTAVIA";180;"aceto-altavia-x-250-cc/p";"180916";"Almacén";"Aceites y Vinagres";"Acetos"
"45";"Aceto Balsámico Casalta Manzana 400 Ml";"CASALTA";232;"aceto-de-manzana-casalta-x-400ml/p";"567512";"Almacén";"Aceites y Vinagres";"Acetos"
"46";"Aceto Balsámico Menoyo 250 Ml";"MENOYO";159;"aceto-balsamico-menoyo-x-250-cc-2/p";"584799";"Almacén";"Aceites y Vinagres";"Acetos"
"47";"Aceto Balsámico La Toscana 250 Ml";"TOSCANA";187;"aceto-balsamico-la-toscana-botella-250/p";"209583";"Almacén";"Aceites y Vinagres";"Acetos"
