nombre|precio|imagen|rubro|id
MAYONESA HELLMANNS 237GR|42.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-237GR.jpg|Aderezos|0035
KETCHUP DANICA 220GR|49.9|http://tatito.com.ar/wp-content/uploads/2020/01/KETCHUP-DANICA-220GR.jpg|- Ketchup|0036
Mayonesa Natura 125 grs.|26.5|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-125.jpg|- Mayonesas|0037
Mayonesa Natura 250 grs.|51.99|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-250.jpg|- Mayonesas|0038
MAYONESA HELLMANNS 475GR|85.0|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-HELLMANNS-475GR.jpg|- Mayonesas|0039
MAYONESA FANACOA  2755KG|245.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-FANACOA-2755KG.jpg|- Mayonesas|0040
MAYONESA DANICA FIESTA 1KG|120.0|http://tatito.com.ar/wp-content/uploads/2019/11/mayonesa-danica-fiesta-1kg.jpg|- Mayonesas|0041
MAYONESA HELLMANNS 950KG|190.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-950KG.jpg|- Mayonesas|0042
MAYONESA HELLMANNS 2755GR|390.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-2755GR.jpg|- Mayonesas|0043
MAYONESA DANICA F X 500GR|65.0|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-DANICA-F-X-500GR.jpg|- Mayonesas|0044
MAYONESA DANICA F 100GR|12.5|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-DANICA-F-100GR.jpg|- Mayonesas|0045
MAYONESA DANICA F 220GR|33.5|http://tatito.com.ar/wp-content/uploads/2019/11/Mayonesa-Dani-Fiesta-24x250cm3-.jpg|- Mayonesas|0046
MAYONESA HELLMANNS 237GR|42.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-237GR.jpg|- Mayonesas|0047
MOSTAZA DANICA 3KG|245.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-3KG.jpg|- Mostazas|0048
MOSTAZA SAVORA ORIGINAL X250G|80.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-SAVORA-ORIGINAL-X250G.jpg|- Mostazas|0049
MOSTAZA DANICA 220GR|45.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-250GR.jpg|- Mostazas|0050
Harina Graciela  Real 0000 1 Kg.|52.0|http://tatito.com.ar/wp-content/uploads/2020/06/harina-graciela-real-0000.jpg|Almacén|0051
Pure de Papas Cica x 100 grs.|95.0|http://tatito.com.ar/wp-content/uploads/2020/06/pure-de-papa-cica-100.jpg|Almacén|0052
Aceite Natura girasol x 500 ml.|68.0|http://tatito.com.ar/wp-content/uploads/2020/06/aceite-natura-girasol-x500.jpg|Almacén|0053
Dulce de Leche Clasico Manfrey x 250 grs.|66.0|http://tatito.com.ar/wp-content/uploads/2020/05/Dulce-de-leche-manfrey-250.jpg|Almacén|0054
Yerba Cachamate con Hierbas 500 Grs. (Amarilla)|115.0|http://tatito.com.ar/wp-content/uploads/2020/05/yerba-cachamate-hierbas-amarilla-500.jpg|Almacén|0055
Galletas de Arroz All Rice Limon x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg|Almacén|0056
Galletas de Arroz All Rice Sin Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg|Almacén|0057
Galletas de Arroz All Rice Naranja x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg|Almacén|0058
