nombre,marca,precio,link,imagen,departamento,categoria,subcategoria
Arroz Gallo Integral 1 Kg,GALLO,"$ 125,00",arroz-gallo-integral-2,468432,Almacén,Arroz y Legumbres,-
Lentejas La Española Gourmet 400 Gr,LA ESPAÑOLA GOURMET,"$ 89,00",lentejas-la-espanola-gourmet-x-400gr,191862,Almacén,Arroz y Legumbres,-
Lentejones Doroteo 400 Gr,SIN MARCA,"$ 120,00",lentejones-doroteo-400-gr,583964,Almacén,Arroz y Legumbres,-
Garbanzos La Abadia 400 Gr,La Abadia,"$ 47,00",garbanzos-la-abadia-400-gr,578951,Almacén,Arroz y Legumbres,-
Arroz Apostoles Parboil 1 Kg,APOSTOLES,"$ 64,00",arroz-apostoles-parboil-1-kg,548372,Almacén,Arroz y Legumbres,-
Porotos Alubia La Abadia 500 Gr,La Abadia,"$ 85,00",porotos-alubia-la-abadia-500-gr,471686,Almacén,Arroz y Legumbres,-
Garbanzos Mister Food 400 Gr,MISTER FOOD,"$ 49,00",garbanzos-mister-food-400-gr,414161,Almacén,Arroz y Legumbres,-
Arroz Ala Doble 500 Gr,ALA,"$ 73,00",arroz-ala-doble-x-500-gr,180865,Almacén,Arroz y Legumbres,-
Arroz Carnaroli 500 Gr,DOS HERMANOS,"$ 125,00",arroz-carnaroli,178786,Almacén,Arroz y Legumbres,-
Arroz Ala Grano Largo Fino 500 Gr,ALA,"$ 37,00",arroz-ala-grano-largo-2,178590,Almacén,Arroz y Legumbres,-
Maiz Doroteo Pisingallo 400 Gr,SIN MARCA,"$ 45,00",maiz-doroteo-pisingallo-400-gr,585931,Almacén,Arroz y Legumbres,-
Arroz Vanguardia Elaborado Largo Fino,VANGUARDIA,"$ 59,00",arroz-vanguardia-elaborado-largo-fino,570114,Almacén,Arroz y Legumbres,-
