id|nombre|precio|rubro|url_imagen|url_producto
00467|Chimichurri Vanoli Clasico 190 grs.|65.0|Almacén > Varios|/2020/01/CHIMICHURRI-VANOLI-CLA-y-AHU-190.jpg|/chimichurri-vanoli-cla-ahu-190/
00468|Aceite Natura Aerosol x 120 g.|168.0|Almacén > Aceites|/2020/07/aceite-natura-aerosol.jpg|/aceite-natura-aerosol-x-120-g/
00469|Dulce de Leche Repostero Manfrey x 400 grs.|108.0|Almacén > Otros|/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg|/dulce-de-leche-repostero-manfrey-x-400-grs/
00471|Dulce de Leche Tradicional Tremblay x 250 grs.|56.5|Almacén > Otros|/2020/07/Dulce-de-leche-tremblay-250.jpg|/dulce-de-leche-tradicional-tremblay-x-250-grs/
00472|Dulce de Leche Clasico Manfrey x 400 grs.|97.0|Almacén > Otros|/2020/05/Dulce-de-leche-manfrey-400.jpg|/dulce-de-leche-clasico-manfrey-x-400-grs/
00473|Dulce de Leche Repostero Manfrey x 400 grs.|108.0|Desayuno > Dulce de Leche|/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg|/dulce-de-leche-repostero-manfrey-x-400-grs/
00475|Dulce de Leche Tradicional Tremblay x 250 grs.|56.5|Desayuno > Dulce de Leche|/2020/07/Dulce-de-leche-tremblay-250.jpg|/dulce-de-leche-tradicional-tremblay-x-250-grs/
00476|Dulce de Leche Clasico Manfrey x 400 grs.|97.0|Desayuno > Dulce de Leche|/2020/05/Dulce-de-leche-manfrey-400.jpg|/dulce-de-leche-clasico-manfrey-x-400-grs/
00477|Dulce de Leche Repostero Manfrey x 400 grs.|108.0|Almacén > Varios|/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg|/dulce-de-leche-repostero-manfrey-x-400-grs/
00479|Dulce de Leche Tradicional Tremblay x 250 grs.|56.5|Almacén > Varios|/2020/07/Dulce-de-leche-tremblay-250.jpg|/dulce-de-leche-tradicional-tremblay-x-250-grs/
00480|Dulce de Leche Clasico Manfrey x 400 grs.|97.0|Almacén > Varios|/2020/05/Dulce-de-leche-manfrey-400.jpg|/dulce-de-leche-clasico-manfrey-x-400-grs/
00481|Hummus Kamar Sesamo y Ajo x 250 grs.|120.19|Frescos y Congelados > Masa para Tacos|/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|/hummus-kamar-sesamo-y-ajo-x-250-grs/
00482|Hummus Kamar Morron x 250 grs.|120.19|Frescos y Congelados > Masa para Tacos|/2020/07/hummus-kamar-morron-250grs.jpg|/hummus-kamar-morron-x-250-grs/
00483|Hummus Kamar Olivas Negras x 250 grs.|120.19|Frescos y Congelados > Masa para Tacos|/2020/07/hummus-kamar-olivasnegras-250grs.jpg|/hummus-kamar-olivas-negras-x-250-grs/
00484|Galletas Frutigran Chips de Chocolate 250 gr.|85.0|Desayuno > Gall Dulces y Saladas|/2020/07/frutigran-chips-250.jpg|/galletas-frutigran-chips-de-chocolate-250-gr/
00485|Galletas Frutigran Avena y Frutos Rojos 250 gr.|85.0|Desayuno > Gall Dulces y Saladas|/2020/07/frutigran-avenayfr-250.jpg|/galletas-frutigran-avena-y-frutos-rojos-250-gr/
00486|GALLETAS TURIMAR PALMERITAS 200 GRS|53.0|Desayuno > Gall Dulces y Saladas|/2019/11/GALL-TURIMAR-PALMER-200-GRS.png|/gall-turimar-palmer-200-grs/
00487|Galletas Mauri Salvado 400 Grs.|94.0|Desayuno > Gall Dulces y Saladas|/2019/11/GALL-MAURI-SALVADO-400GR.jpg|/gall-mauri-salvado-400gr/
00488|Hummus Kamar Sesamo y Ajo x 250 grs.|120.19|Frescos y Congelados > Tapas|/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|/hummus-kamar-sesamo-y-ajo-x-250-grs/
00489|Hummus Kamar Morron x 250 grs.|120.19|Frescos y Congelados > Tapas|/2020/07/hummus-kamar-morron-250grs.jpg|/hummus-kamar-morron-x-250-grs/
00490|Hummus Kamar Olivas Negras x 250 grs.|120.19|Frescos y Congelados > Tapas|/2020/07/hummus-kamar-olivasnegras-250grs.jpg|/hummus-kamar-olivas-negras-x-250-grs/
00491|Crema De Leche Her Bal X 200 Grs.|68.0|Lacteos > Crema de Leche|/2019/11/crema-de-leche-herbal-250.jpg|/crema-de-leche-her-bal-x-200gr/
00492|Crema De Leche La Serenisima Doble 200 Grs.|100.0|Lacteos > Crema de Leche|/2020/01/CREMA-DE-LECHE-LS-DOBLE-200GR.jpg|/crema-de-leche-ls-doble-200gr/
00493|CREMA DE LECHE SANTA MARIA 200GR|84.0|Lacteos > Crema de Leche|/2020/01/CREMA-DE-LECHE-SANTA-MARIA-200GR-e1587147275291.jpg|/crema-de-leche-santa-maria-200gr/
00494|Yogur Yofrey Manfrey x 120 grs.|43.0|Lacteos > Yogures|/2020/07/yogur-manfrey-yofrey-120.jpg|/yogur-yofrey-manfrey-x-120-grs/
00495|YOGUR MANFREY C/CEREAL 163GR|43.0|Lacteos > Yogures|/2019/11/yogur-manfrey-cereal-163.jpg|/yogur-manfrey-c-cereal-163gr/
00498|Manteca S y S x 200 grs.|99.0|Lacteos > Mantecas y Margarinas|/2020/07/manteca-sys-200gr.jpg|/manteca-s-y-s-x-200-grs/
00499|Manteca Tonadita 100 Gr|54.0|Lacteos > Mantecas y Margarinas|/2020/01/MANTECA-TONADITA-100GR.jpg|/manteca-tonadita-100gr/
00500|Hummus Kamar Sesamo y Ajo x 250 grs.|120.19|Frescos y Congelados > Untables|/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|/hummus-kamar-sesamo-y-ajo-x-250-grs/
00501|Hummus Kamar Morron x 250 grs.|120.19|Frescos y Congelados > Untables|/2020/07/hummus-kamar-morron-250grs.jpg|/hummus-kamar-morron-x-250-grs/
00502|Hummus Kamar Olivas Negras x 250 grs.|120.19|Frescos y Congelados > Untables|/2020/07/hummus-kamar-olivasnegras-250grs.jpg|/hummus-kamar-olivas-negras-x-250-grs/
00505|Dulce de Leche Repostero Manfrey x 400 grs.|108.0|Lacteos > Dulce de Leche|/2020/07/Dulce-de-leche-manfrey-repostero-400.jpg|/dulce-de-leche-repostero-manfrey-x-400-grs/
00507|Dulce de Leche Tradicional Tremblay x 250 grs.|56.5|Lacteos > Dulce de Leche|/2020/07/Dulce-de-leche-tremblay-250.jpg|/dulce-de-leche-tradicional-tremblay-x-250-grs/
00508|Dulce de Leche Clasico Manfrey x 400 grs.|97.0|Lacteos > Dulce de Leche|/2020/05/Dulce-de-leche-manfrey-400.jpg|/dulce-de-leche-clasico-manfrey-x-400-grs/
00509|Pochoclo Dulce Semix 80 grs.|33.0|Snacks > Otros|/2020/07/pochoclos-dulces-semix-80.jpg|/pochoclo-dulce-semix-80-grs/
00510|Veggie Snacks Granix Pizza x 45 grs.|39.0|Snacks > Otros|/2020/07/veggie-snacks-pizza-45g.jpg|/veggie-snacks-granix-pizza-x-45-grs/
00511|Veggie Snacks Granix Cebolla x 45 grs.|39.0|Snacks > Otros|/2020/07/veggie-snacks-cebolla-45g.jpg|/veggie-snacks-granix-cebolla-x-45-grs/
00512|Desodorante Glade Campos de Lavanda 360 cc|90.0|Limpieza > Varios|/2020/07/desodorante-glade-lavanda-360.jpg|/desodorante-glade-campos-de-lavanda-360-cc/
00513|YERBA YERBACID C/CASCARA 500 G|115.0|Almacén > Mate|/2020/01/default.jpg|/yerba-yerbacid-c-cascara-500-g/
00514|Sardo Rivadavia x 100 grs.|44.0|Fiambreria > Sardo|/2020/01/default.jpg|/sardo-rivadavia/
00682|Queso Cremoso Debaldo x 100 grs.|30.0|Fiambreria > Cremosos|/2020/08/cremoso-debaldo.jpg|/queso-cremoso-debaldo-x-100-grs/
00517|PAPEL HIGIENICO CAMPANITA CLASIC X4 X 50M CELES|62.0|Limpieza > Papel Higiénico|/2019/11/papel-hig-camp-celes-4-50.jpg|/hig-camp-clasic-x4-x-50m-celes/
00518|FIBRA ESPONJA MAKE LISA|18.5|Limpieza > Varios|/2020/01/FIBRA-ESP-MAKE-LISA.jpg|/fibra-esp-make-lisa/
00519|AVENA JOSE LOPEZ 500GR|51.0|Almacén > Legumbres|/2020/01/default.jpg|/avena-jose-lopez-500gr/
00520|Edulcorante Barny 500 Ml.|125.0|Desayuno > Edulcorantes|/2019/11/EDULCORANTE-BARNY-500.jpg|/edulc-barny-500ml/
