id|nombre|precio|precio_1|precio_2|rubro|url_imagen|url_producto
00735|STEVIA HILERET X 200 BOT|167.0|3,144.22||Almacén > Edulcorantes|/2020/01/STEVIA-HILERET-X-200-BOT.jpg|/stevia-hileret-x-200-bot/
00736|Salsa Golf Benidorm 500 ml|135.0|3,118.64||Aderezos > Salsa Golf|/2020/10/benidorm-salsagolf.jpg|/salsa-golf-benidorm-500-ml/
00737|SALSA GOLF DANICA 220ML.|53.0|3,45.35||Aderezos > Salsa Golf|/2019/11/SALSA-GOLF-DANICA-220ML.jpg|/salsa-golf-danica-220ml/
00738|Azucar Light Lheritier 350 gr.|65.0|3,54.50||Almacén > Azúcar|/2020/10/azucar-light-lheritier.jpg|/azucar-light-lheritier-350-gr/
00001|Azucar 1 Kg.|60.0|3,50.00|10,46.00|Almacén > Azúcar|/2019/11/azucar-comun-1kg-fraccionada.jpg|/azucar-1kg-s-iva/
00687|Ketchup Natura x  500 Grs.|158.0|3,140.94||Aderezos > Ketchup|/2020/11/ketchup-natura-x250.jpg|/ketchup-natura-x-500-grs/
00739|Ketchup Natura x  250 Grs.|80.0|3,71.67||Aderezos > Ketchup|/2020/11/ketchup-natura-x250.jpg|/ketchup-natura-x-250-grs/
00002|KETCHUP DANICA 220GR|54.0|3,46.03||Aderezos > Ketchup|/2020/01/KETCHUP-DANICA-220GR.jpg|/ketchup-danica-220gr/
00741|Mostaza Benidorm 500 ml|135.0|3,118.64||Aderezos > Mostazas|/2020/10/benidorm-mostaza.jpg|/mostaza-benidorm-500-ml/
00742|Mostaza Savora 1 Kg.|190.0|3,163.80||Aderezos > Mostazas|/2020/01/MOSTAZA-SAVORA-1KG.jpg|/mostaza-savora-1kg/
00744|MOSTAZA SAVORA ORIGINAL X250G|78.75|3,68.25||Aderezos > Mostazas|/2020/01/MOSTAZA-SAVORA-ORIGINAL-X250G.jpg|/mostaza-savora-original-x250g/
00003|MOSTAZA DANICA 220GR|47.75|3,41.36||Aderezos > Mostazas|/2020/01/MOSTAZA-DANICA-250GR.jpg|/mostaza-danica-220gr/
00745|Mostaza Danica 60 Grs.|13.4|3,11.57||Aderezos > Mostazas|/2020/01/MOSTAZA-DANICA-60GR.jpg|/mostaza-danica-60gr/
00441|Arroz Gallo Largo Fino 500 Grs.|59.0|3,50.89||Almacén > Arroz|/2020/07/arroz-gallo-largo-fino-500.jpg|/arroz-gallo-largo-fino-500-grs/
00442|Arroz Dos Hermanos L. Fino x 500 grs.|43.7|3,37.77||Almacén > Arroz|/2020/07/arroz-dos-hermanos-Lfino-500.jpg|/arroz-dos-hermanos-l-fino-x-500-grs/
00443|Arroz Dos Hermanos Parboil x 500 grs.|49.5|3,42.59||Almacén > Arroz|/2020/07/arroz-dos-hermanos-parboil-500.jpg|/arroz-dos-hermanos-parboil-x-500-grs/
00004|Arroz Gallo Oro 1 Kg.|165.0|3,143.02||Almacén > Arroz|/2020/01/ARROZ-GALLO-ORO-B1-KG.jpg|/arroz-gallo-oro-b1-kg-s-iva/
00005|Arroz Gallo Oro Amarillo 500 Grs.|88.0|3,72.94||Almacén > Arroz|/2020/01/ARROZ-GALLO-ORO-AMA-500GR.jpg|/arroz-gallo-oro-ama-500gr/
00006|ARROZ LUCHADOR 4/0 500GR|33.0|3,28.60||Almacén > Arroz|/2019/11/arroz-luchador-500.jpg|/arroz-luchador-4-0-500gr-s-iva/
00746|Harina Leudante Corona de Trigo 1 Kg.|60.0|3,51.71||Almacén > Harinas|/2020/10/harina-coronadetrigo-leudante.jpg|/harina-leudante-corona-de-trigo-1-kg/
00747|HARINA REINA ANA 0000 X1K|45.0|3,35.00||Almacén > Harinas|/2020/04/HAR-REINA-ANA-0000.jpg|/har-reina-ana-0000-x1k-s-iva/
00008|Harina Graciela  Real 000 1 Kg.|45.0|3,38.78||Almacén > Harinas|/2020/01/HAR-GRA-REAL-000-1KG.jpg|/har-gra-real-000-1kg/
00009|HARINA REINA ANA 000 X1 KG.|39.8|3,34.38||Almacén > Harinas|/2019/11/HAR-REINA-ANA-000.jpg|/har-reina-ana-000-x1-kg-s-iva/
00010|HARINA CELESTIAL 0000 X KG|57.0|3,47.84||Almacén > Harinas|/2020/01/HAR-CELESTIAL-0000-X-KG.jpg|/har-celestial-0000-x-kg-s-iva/
00011|POLENTA PRESTOPRONTA ARCOR 500 GRS|70.0|3,60.97||Almacén > Polentas|/2020/01/PRESTOPRONTA-ARCOR-500GR.jpg|/prestopronta-arcor-500grs-iv/
00763|Mayonesa Benidorm 500 ml|135.0|3,118.64||Aderezos > Mayonesas|/2020/10/aderezo-mayo-benidorm.jpg|/mayonesa-benidorm-500-ml/
00764|Mayonesa Natura 125 grs.|33.0|3,28.48||Aderezos > Mayonesas|/2020/06/mayonesa-natura-125gr.jpg|/mayonesa-natura-125-grs/
