id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
00595||Stevia Hileret x 200 bot|170.0|3,147.10|||$170,00|Almacén > Edulcorantes|2020/01/STEVIA-HILERET-X-200-BOT.jpg|stevia-hileret-x-200-bot/
00599||Azucar Light Lheritier 350gr|72.0|3,61.11|||$72,00|Almacén > Azúcar|2020/10/azucar-light-lheritier.jpg|azucar-light-lheritier-350-gr/
00007||Azucar 1kg|58.0|3,49.40|10,44.50||$58,00|Almacén > Azúcar|2019/11/azucar-comun-1kg-fraccionada.jpg|azucar-1kg-s-iva/
00596||Salsa Golf Benidorm 500ml|155.0|3,134.06|||$155,00|Aderezos > Salsa Golf|2020/10/benidorm-salsagolf.jpg|salsa-golf-benidorm-500-ml/
00597||Salsa Golf Danica 220ml|53.0|3,45.35|||$53,00|Aderezos > Salsa Golf|2019/11/SALSA-GOLF-DANICA-220ML.jpg|salsa-golf-danica-220ml/
00687||Ketchup Natura x 500gr|158.0|3,140.94|||$158,00|Aderezos > Ketchup|2020/11/ketchup-natura-x250.jpg|ketchup-natura-x-500-grs/
00293||Ketchup Natura x 250gr|83.0|3,71.67|||$83,00|Aderezos > Ketchup|2020/11/ketchup-natura-x250.jpg|ketchup-natura-x-250-grs/
00003||Ketchup Danica 220gr|53.0|3,45.00|||$53,00|Aderezos > Ketchup|2020/01/KETCHUP-DANICA-220GR.jpg|ketchup-danica-220gr/
00502||Mostaza Benidorm 500ml|155.0|3,134.06|||$155,00|Aderezos > Mostazas|2020/10/benidorm-mostaza.jpg|mostaza-benidorm-500-ml/
00269||Mostaza Danica 3kg|312.0||||$312,00|Aderezos > Mostazas|2020/01/MOSTAZA-DANICA-3KG.jpg|mostaza-danica-3kg/
00603||Mostaza Savora 1kg|190.0|3,163.80|||$190,00|Aderezos > Mostazas|2020/01/MOSTAZA-SAVORA-1KG.jpg|mostaza-savora-1kg/
00605||Mostaza Savora Original x 250gr|72.0|3,62.40|||$72,00|Aderezos > Mostazas|2020/01/MOSTAZA-SAVORA-ORIGINAL-X250G.jpg|mostaza-savora-original-x250g/
00012||Mostaza Danica 220gr|48.0|3,41.36|||$48,00|Aderezos > Mostazas|2020/01/MOSTAZA-DANICA-250GR.jpg|mostaza-danica-220gr/
00606||Mostaza Danica 60gr|17.0|3,14.68|||$17,00|Aderezos > Mostazas|2020/01/MOSTAZA-DANICA-60GR.jpg|mostaza-danica-60gr/
00601||Arroz Gallo Largo Fino 500gr|68.0|3,58.98|||$68,00|Almacén > Arroz|2020/07/arroz-gallo-largo-fino-500.jpg|arroz-gallo-largo-fino-500-grs/
00602||Arroz Dos Hermanos lt . Fino x 500gr|52.0|3,44.85|||$52,00|Almacén > Arroz|2020/07/arroz-dos-hermanos-Lfino-500.jpg|arroz-dos-hermanos-l-fino-x-500-grs/
00509||Arroz Dos Hermanos Parboil x 500gr|56.0|3,48.45|||$56,00|Almacén > Arroz|2020/07/arroz-dos-hermanos-parboil-500.jpg|arroz-dos-hermanos-parboil-x-500-grs/
00017||Arroz Gallo Oro 1kg|136.0|3,117.88|||$136,00|Almacén > Arroz|2020/01/ARROZ-GALLO-ORO-B1-KG.jpg|arroz-gallo-oro-b1-kg-s-iva/
00018||Arroz Noble Largo Fino 500gr|55.0|3,47.10|||$55,00|Almacén > Arroz|2020/01/ARROZ-NOBLE-LF-500G.jpg|arroz-noble-lf-500g-s-iva/
00019||Arroz Gallo Oro Amarillo 500gr|84.0|3,72.92|||$84,00|Almacén > Arroz|2020/01/ARROZ-GALLO-ORO-AMA-500GR.jpg|arroz-gallo-oro-ama-500gr/
00020||Arroz Luchador 4/0 500gr|47.5|3,39.00|||$47,50|Almacén > Arroz|2019/11/arroz-luchador-500.jpg|arroz-luchador-4-0-500gr-s-iva/
00600||Harina Leudante Corona De Trigo 1kg|59.99|3,51.71|||$59,99|Almacén > Harinas|2020/10/harina-coronadetrigo-leudante.jpg|harina-leudante-corona-de-trigo-1-kg/
00511||Harina Reina Ana 0000 x 1kg|46.0|3,40.30|||$46,00|Almacén > Harinas|2020/04/HAR-REINA-ANA-0000.jpg|har-reina-ana-0000-x1k-s-iva/
00023||Harina Graciela Real 000 1kg|45.0|3,38.78|||$45,00|Almacén > Harinas|2020/01/HAR-GRA-REAL-000-1KG.jpg|har-gra-real-000-1kg/
00024||Harina Reina Ana 000 x 1kg|39.0|3,30.33|||$39,00|Almacén > Harinas|2019/11/HAR-REINA-ANA-000.jpg|har-reina-ana-000-x1-kg-s-iva/
00025||Harina Celestial 0000 x kg|57.0|3,47.84|||$57,00|Almacén > Harinas|2020/01/HAR-CELESTIAL-0000-X-KG.jpg|har-celestial-0000-x-kg-s-iva/
00512||Polenta Instantanea Verizzia 500gr|24.0|3,21.00|||$24,00|Almacén > Polentas|2020/11/polenta-verizzia-500.jpg|polenta-instantanea-verizzia-500-grs/
00027||Polenta Prestopronta Arcor 500gr|74.0|3,64.45|||$74,00|Almacén > Polentas|2020/01/PRESTOPRONTA-ARCOR-500GR.jpg|prestopronta-arcor-500grs-iv/
00617||Pan Dulce Buon Natale Con Frutas 400gr|115.0|3,97.50|||$115,00|Almacén > Gall. Dulces y Saladas|2020/12/pan-dulce-buon-natale-400.jpg|pan-dulce-buon-natale-con-frutas-400-gr/
00618||Budin Marmolado Bimbo 200gr|130.0|3,113.46|||$130,00|Almacén > Gall. Dulces y Saladas|2020/11/budin-bimbo-marmolado-200g.jpg|budin-marmolado-bimbo-200-gr/
00619||Budin Con Frutas Bimbo 200gr|130.0|3,113.46|||$130,00|Almacén > Gall. Dulces y Saladas|2020/11/budin-bimbo-frutas-200g.jpg|budin-con-frutas-bimbo-200-gr/
01109||Vainillas Bimbo x 12 Uds. ( 148gr .)|58.0|3,50.00|||$58,00|Almacén > Gall. Dulces y Saladas|2020/11/vainillas-bimbo-148g.jpg|vainillas-bimbo-x-12-uds-148-grs/
00620||Galletas Coquitas Bagley 170gr|69.5|3,62.15|||$69,50|Almacén > Gall. Dulces y Saladas|2020/10/galletas-coquitas-170.jpg|galletas-coquitas-bagley-170-gr/
00701||Budin Arcor Chocolate 215gr|135.0|3,117.59|||$135,00|Almacén > Gall. Dulces y Saladas|2020/10/budin-arcor-chocolate-215.jpg|budin-arcor-chocolate-215-gr/
00518||Budin Dale Vainilla Tia Maruca x 170gr|37.5|3,32.50|||$37,50|Almacén > Gall. Dulces y Saladas|2020/10/budin-dale-vainilla-170.jpg|budin-dale-vainilla-tia-maruca-x-170-grs/
00290||Galletas De Arroz All Rice Sin Sal x 100gr|71.0|3,61.75|||$71,00|Almacén > Gall. Dulces y Saladas|2020/05/galletas-all-rice-sin-sal.jpg|galletas-all-rice-sin-sal-x-100-grs/
00260||Galletas De Arroz All Rice Naranja x 100gr|71.0|3,61.75|||$71,00|Almacén > Gall. Dulces y Saladas|2020/05/galletas-all-rice-naranja.jpg|galletas-all-rice-naranja-x-100-grs/
00623||Obleas Tym x 46gr|14.0|3,12.10|||$14,00|Almacén > Gall. Dulces y Saladas|2020/01/OBLEAS-TYM-X-46-GR.jpg|obleas-tym-x-46-gr/
00316||Vainilla Mauri 80gr|25.0|3,21.74|||$25,00|Almacén > Gall. Dulces y Saladas|2020/01/VAINILLA-MAURI-80GR.jpg|vainilla-mauri-80gr/
01103||Rebozador Sol De Campo x 400gr|60.0|3,52.00|||$60,00|Almacén > Rebozadores|2020/11/rebozador-sol-de-campo-400.jpg|rebozador-sol-de-campo-x-400-grs/
00607||Pan Rallado Sol De Campo x 400gr|60.0|3,52.00|||$60,00|Almacén > Rebozadores|2020/11/panrall-sol-de-campo-400.jpg|pan-rallado-sol-de-campo-x-400-grs/
00608||Rebozador Preferido 500gr|87.0|3,75.40|||$87,00|Almacén > Rebozadores|2020/01/REBOZADOR-PREFERIDO-500GR.jpg|rebozador-preferido-500gr-s-iva/
00525||Mayonesa Bc 1kg|205.0|3,187.14|||$205,00|Aderezos > Mayonesas|2020/11/mayonesa-bc-1-kg.jpg|mayonesa-bc-1-kg/
00526||Mayonesa Benidorm 500ml|155.0|3,134.06|||$155,00|Aderezos > Mayonesas|2020/10/aderezo-mayo-benidorm.jpg|mayonesa-benidorm-500-ml/
00609||Mayonesa Natura 125gr|36.5|3,31.37|||$36,50|Aderezos > Mayonesas|2020/06/mayonesa-natura-125gr.jpg|mayonesa-natura-125-grs/
00470||Mayonesa Bc 250gr|47.65|3,41.91|||$47,65|Aderezos > Mayonesas|2020/01/MAYONESA-BC-3-250GR.jpg|mayonesa-bc-3-250gr/
00048||Mayonesa Hellmanns 475gr|100.0|3,87.10|||$100,00|Aderezos > Mayonesas|2019/11/MAYONESA-HELLMANNS-475GR.jpg|mayonesa-hellmanns-475gr/
00610||Mayonesa Bc 125gr|32.0|3,28.05|||$32,00|Aderezos > Mayonesas|2020/01/MAYONESA-BC-125GR.jpg|mayonesa-bc-125gr/
00051||Mayonesa Hellmanns 950kg|204.0|3,175.58|||$204,00|Aderezos > Mayonesas|2020/01/MAYONESA-HELLMANNS-950KG.jpg|mayonesa-hellmanns-950kg/
00611||Mayonesa Mayodan 3kg|265.0||||$265,00|Aderezos > Mayonesas|2019/11/MAYONESA-MAYODAN-3KG.jpg|mayonesa-mayodan-3kg/
00053||Mayonesa Hellmanns 2755gr|485.0|3,465.60|||$485,00|Aderezos > Mayonesas|2020/01/MAYONESA-HELLMANNS-2755GR.jpg|mayonesa-hellmanns-2755gr/
00054||Mayonesa Danica F x 500gr|100.0|3,86.33|||$100,00|Aderezos > Mayonesas|2019/11/MAYONESA-DANICA-F-X-500GR.jpg|mayonesa-danica-f-x-500gr/
00612||Mayonesa Danica F 100gr|19.0|3,16.46|||$19,00|Aderezos > Mayonesas|2019/11/mayonesa-danica-fiesta-100g.jpg|mayonesa-danica-f-100gr/
00613||Mayonesa Danica F. 220gr|45.0|3,39.00|||$45,00|Aderezos > Mayonesas|2019/11/mayonesa-danica-220.jpg|mayonesa-danica-f-220gr/
00057||Mayonesa Hellmanns 237gr|56.0|3,48.13|||$56,00|Aderezos > Mayonesas|2020/01/MAYONESA-HELLMANNS-237GR.jpg|mayonesa-hellmanns-237gr/
00614||Mayonesa Hellmanns 118gr|27.0|3,23.00|||$27,00|Aderezos > Mayonesas|2020/01/MAYONESA-HELLMANNS-118GR.jpg|mayonesa-hellmanns-118gr/
00615||Bizcochuelo Godet Marmolado 480gr|108.0|3,92.93|||$108,00|Almacén > Postres|2020/01/BIZC-GODET-MARMOL-480GR.jpg|bizc-godet-marmol-480gr/
00041||Bizcochuelo Godet Chocolate 480gr|120.0|3,104.88|||$120,00|Almacén > Postres|2020/01/BIZC-GODET-CHOC-480GR.jpg|bizc-godet-choc-480gr/
00022||Flan Godet Dulce De Leche 30gr|34.5|3,29.76|||$34,50|Almacén > Postres|2020/01/FLAN-GODET-D-DE-LECHE-30-GRS.jpg|flan-godet-d-de-leche-30-grs/
00043||Flan Godet Vainilla 30gr|34.5|3,29.76|||$34,50|Almacén > Postres|2020/01/FLAN-GODET-VAINILLA-30GR.jpg|flan-godet-vainilla-30gr/
00616||Gelatina Godet Todas x 100|46.5|3,40.30|||$46,50|Almacén > Postres|2020/01/GELATINA-GODET-TODAS-X-100.jpg|gelatina-godet-todas-x-100/
00649||Capelettini Tridicci Giacomo 500gr|209.0|3,180.97|||$209,00|Almacén > Fideos|2020/10/capelettini-giacomo-tridicci-500.jpg|capelettini-tridicci-giacomo-500-g/
00558||Capelettini Jamon y Queso Giacomo 500gr|209.0|3,180.97|||$209,00|Almacén > Fideos|2020/10/capelettini-giacomo-jyq-500.jpg|capelettini-jamon-y-queso-giacomo-500-g/
00650||Fideos La Providencia Mo?o x 500gr|56.0|3,48.62|||$56,00|Almacén > Fideos|2020/09/FIDEOS-LA-PROVIDENCIA-MONO-500.jpg|fideos-la-providencia-mono-x-500-grs/
00104||Fideos Spaghetti Terrabusi x 500gr|56.0|3,48.02|||$56,00|Almacén > Fideos|2020/04/spaghetti-terrabusi-500.jpg|fideos-spaghetti-terrabusi-x-500-grs/
00105||Fideos La Providencia Spaguetti 500gr|46.5|3,40.35|||$46,50|Almacén > Fideos|2020/04/FIDEOS-LA-PROVIDENCIA-SPAG-500.jpg|fideos-la-providencia-spaguetti-500-gr/
00106||Fideos Verizzia Guisero|39.0|3,32.50|||$39,00|Almacén > Fideos|2020/01/FIDEOS-VERIZZIA-GUISERO-S-IVA.jpg|fideos-verizzia-guisero-s-iva/
00651||Fideos Verizzia Spaguetti|39.0|3,32.50|||$39,00|Almacén > Fideos|2020/01/FIDEOS-VERIZZIA-SPAG-S-IVA.jpg|fideos-verizzia-spag-s-iva/
01125||Fideos Lucchetti 500gr|48.0|3,40.00|||$48,00|Almacén > Fideos|2020/01/FIDEO-LUCCHETTI-TIRABUZON-500G-S-IVA.jpg|fideos-lucchetti-500gr-s-iva/
00038||Fideos Chicago Rosca|52.0|3,44.03|||$52,00|Almacén > Fideos|2020/01/default.jpg|fideos-chicago-rosca-s-iva/
00654||Fideos Frescos La Tucumanita 500gr|71.5|3,61.75|||$71,50|Almacén > Fideos|2020/01/default.jpg|fideos-la-tuc-500gr/
00655||Fideos Rivoli Mo?ito 500gr|69.0|3,60.00|||$69,00|Almacén > Fideos|2020/01/FIDEO-RIVOLI-TALLARIN-NODO-S-IVA.jpg|fideos-rivoli-espec-500g-s-iva/
00656||Fideos Chicago Spaguetti 500gr|44.5|3,38.27|||$44,50|Almacén > Fideos|2020/01/default.jpg|fideos-chicago-spag-500g-s-iva/
00113||Fideos Rivoli Guisero/sopero 500gr|56.5|3,48.75|||$56,50|Almacén > Fideos|2020/01/FIDEO-RIVOLI-TALLARIN-NODO-S-IVA.jpg|fideos-rivoli-gui-sop-500g-s-iva/
