nombre|precio|url_producto|url_imagen|rubro|id
SAL CELUSAL FINA 500GR|39.99|http://tatito.com.ar/producto/sal-celusal-fina-500gr/|/2020/01/SAL-CELUSAL-FINA-500GR.jpg|Almacén > Sal|00504
Dulce de Leche Clasico Manfrey x 250 grs.|66.0|http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/|/2020/05/Dulce-de-leche-manfrey-250.jpg|Desayuno > Dulce de Leche|00483
Dulce de leche La Serenisima Colonial x 400 gr|130.0|http://tatito.com.ar/producto/dulce-de-leche-la-serenisima-colonial-x-400-gr/|/2020/05/dulce-de-leche-la-serenisima-colonial-400g.jpg|Desayuno > Dulce de Leche|00568
DULCE DE LECHE LA PAULINA CLAS.  X400GR|121.6|http://tatito.com.ar/producto/d-de-leche-pau-x400gr/|/2019/11/dulce-de-leche-paulina-400-clasico.jpg|Desayuno > Dulce de Leche|00569
Masa para Tacos Pandino|60.0|http://tatito.com.ar/producto/tacos-pandino/|/2020/01/TACOS-PANDINO.jpg|Frescos y Congelados > Masa para Tacos|00660
CACAO QUICKER X 200GR|52.0|http://tatito.com.ar/producto/cacao-quicker-x-200gr/|/2020/04/CACAO-QUICKER-200.jpg|Desayuno > Cacao|00492
CACAO CHOCOLINO PLUS FORT 180G|56.0|http://tatito.com.ar/producto/cacao-chocolino-plus-fort-180g/|/2020/04/cacao-chocolino-180gr.jpg|Desayuno > Cacao|00613
Cacao Nesquik 150 Grs.|60.0|http://tatito.com.ar/producto/cacao-nesquik-180-grs/|/2019/11/nesquik-150g.jpg|Desayuno > Cacao|00614
Sorrentinos Madomi X 500 Grs.|77.0|http://tatito.com.ar/producto/sorrentinos-madomi-x-500g/|/2020/01/SORRENTINOS-MADOMI-X-500G.jpg|Frescos y Congelados > Sorrentinos|00669
Mortadela Goggi Cañon Feteada x 100 grs.|16.0|http://tatito.com.ar/producto/mort-goggi-bocha/|/2020/01/MORT-GOGGI.jpg|Fiambreria > Mortadela|00621
Mortadela Lario Feteada x 100 grs.|36.0|http://tatito.com.ar/producto/mort-lario/|/2020/01/MORT-LARIO.jpg|Fiambreria > Mortadela|00622
Mortadela Paladini Feteada x 100 grs.|40.0|http://tatito.com.ar/producto/mort-paladini/|/2019/11/MORT-PALADINI.jpg|Fiambreria > Mortadela|00623
Queso Tybo Debaldo Feteado x 100 grs.|40.0|http://tatito.com.ar/producto/tybo-oferta-feteado/|/2019/11/TYBO-DEBALDO.png|Fiambreria > Tybo|00640
Queso Tybo Santa Maria Feteado x 100 grs.|40.0|http://tatito.com.ar/producto/tybo-santa-maria-1-5/|/2020/01/TYBO-SANTA-MARIA-1.5.jpg|Fiambreria > Tybo|00641
Queso Tybo Nulac Feteado x 100 grs.|38.0|http://tatito.com.ar/producto/tybo-nulac/|/2020/01/TYBO-NULAC.jpg|Fiambreria > Tybo|00642
Bondiola Goggi Feteada x 100 grs.|90.0|http://tatito.com.ar/producto/bondiola-goggi/|/2020/01/BONDIOLA-GOGGI.jpg|Fiambreria > Bondiola|00644
Bondiola Lario Feteada x 100 grs.|90.0|http://tatito.com.ar/producto/bondiola-lario/|/2020/01/BONDIOLA-LARIO.jpg|Fiambreria > Bondiola|00645
BIZCOCHUELO GODET CHOCOLATE 480GR|109.0|http://tatito.com.ar/producto/bizc-godet-choc-480gr/|/2020/01/BIZC-GODET-CHOC-480GR.jpg|Almacén > Postres|00498
Bizcochuelo Godet Vainilla 480 Grs.|89.0|http://tatito.com.ar/producto/bizc-godet-vainilla-480gr/|/2020/01/BIZC-GODET-VAINILLA-480GR.jpg|Almacén > Postres|00499
FLAN GODET DULCE DE LECHE 30 GRS.|27.0|http://tatito.com.ar/producto/flan-godet-d-de-leche-30-grs/|/2020/01/FLAN-GODET-D-DE-LECHE-30-GRS.jpg|Almacén > Postres|00500
Flan Godet  Vainilla  30 Grs.|27.0|http://tatito.com.ar/producto/flan-godet-vainilla-30gr/|/2020/01/FLAN-GODET-VAINILLA-30GR.jpg|Almacén > Postres|00501
Fiambre Cocido Goggi Etiqueta Negra x 100 grs.|16.0|http://tatito.com.ar/producto/fiambre-coc-goggi-et-negra/|/2019/11/fiambre-cocido-goggi-et-negra.jpg|Fiambreria > Fiambre cocido|00652
Fiambre Cocido Goggi Etiqueta Azul x 100 grs.|16.0|http://tatito.com.ar/producto/fiambre-coc-goggi-et-azul/|/2019/11/fiambre-cocido-goggi-et-azul.jpg|Fiambreria > Fiambre cocido|00653
LECHE CONDENSADA NESTLE 395G|143.32|http://tatito.com.ar/producto/leche-condensada-nestle-395g/|/2020/01/LECHE-CONDENSADA-NESTLE-395G.jpg|Lacteos > Leche Condensada|00680
Cerveza Quilmes 354 cc (Lata)|38.0|http://tatito.com.ar/producto/cerveza-quilmes-354-cc-lata/|/2020/04/cerveza-quilmes-354.jpg|Bebidas > Cervezas y Fernet|00526
Cerveza Schin Lata 473 ml.|50.0|http://tatito.com.ar/producto/cerv-heineken-wild-lager-330-ml/|/2020/04/cerveza-schin-lata.jpg|Bebidas > Cervezas y Fernet|00527
